start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00,0 days 00:00:00.020000,0.14963959,-18.320843,29.72907,-0.03591316,-0.003996565,0.0,0.0,0.0,0.0,0.0,0.0,891.5871,1693.1748,-201.0,1764.6412,-201.0,3023.4744,-201.0
0 days 00:00:00.010000,0 days 00:00:00.030000,0.14411373,-20.328825,30.966599,-0.039708838,-0.006769769,0.0,0.0,0.0,0.0,0.0,0.0,716.4998,1550.4928,-201.0,1722.4532,-201.0,2977.3982,-201.0
0 days 00:00:00.020000,0 days 00:00:00.040000,0.14471768,-22.023573,33.40317,-0.044488356,-0.012584474,0.0,0.0,0.0,0.0,0.0,0.0,529.42865,1405.9867,-201.0,1658.7323,-201.0,2924.2717,-201.0
0 days 00:00:00.030000,0 days 00:00:00.050000,0.14084971,-19.772419,32.468937,-0.030995319,-0.005072335,0.0,0.0,0.0,0.0,0.0,0.0,581.1369,1251.7595,-201.0,1622.7109,-201.0,2884.8088,-201.0
0 days 00:00:00.040000,0 days 00:00:00.060000,0.13837649,-18.247465,31.90571,-0.02682122,-0.0041648443,0.0,0.0,0.0,0.0,0.0,0.0,577.2601,1308.0349,-201.0,1632.5182,-201.0,2898.9192,-201.0
0 days 00:00:00.050000,0 days 00:00:00.070000,0.12868258,-17.103148,29.956297,-0.024052443,-0.0005850363,0.0,0.0,0.0,0.0,0.0,0.0,568.1329,1362.1205,-201.0,1644.2489,-201.0,2958.32,-201.0
0 days 00:00:00.060000,0 days 00:00:00.080000,0.122579835,-17.496897,29.719315,-0.024861122,-0.0033237187,0.0,0.0,0.0,0.0,0.0,0.0,434.58957,1393.7772,-201.0,1591.4188,-201.0,2944.3604,-201.0
0 days 00:00:00.070000,0 days 00:00:00.090000,0.123036146,-16.486244,26.877298,-0.021500254,-0.004644543,0.0,0.0,0.0,0.0,0.0,0.0,426.68457,1425.8271,-201.0,1542.9901,-201.0,2619.885,-201.0
0 days 00:00:00.080000,0 days 00:00:00.100000,0.12674779,-17.999176,28.788427,-0.022285217,-0.010800953,0.0,0.0,0.0,0.0,0.0,0.0,449.5411,1318.0931,-201.0,1558.7134,-201.0,2564.4487,-201.0
0 days 00:00:00.090000,0 days 00:00:00.110000,0.12851037,-21.04931,32.37761,-0.026539331,-0.015323688,0.0,0.0,0.0,0.0,0.0,0.0,459.9547,1306.9413,-201.0,1580.026,-201.0,2549.1785,-201.0
0 days 00:00:00.100000,0 days 00:00:00.120000,0.13218248,-24.794752,37.384037,-0.039408356,-0.019942088,0.0,0.0,0.0,0.0,0.0,0.0,557.57556,1300.4481,-201.0,1664.2555,-201.0,2905.6301,-201.0
0 days 00:00:00.110000,0 days 00:00:00.130000,0.13039087,-24.714302,37.543407,-0.041222665,-0.012533352,0.0,0.0,0.0,0.0,0.0,0.0,707.658,1531.402,-201.0,1688.6035,-201.0,2961.3723,-201.0
0 days 00:00:00.120000,0 days 00:00:00.140000,0.12685655,-24.580042,35.429157,-0.0517763,-0.0076372437,0.0,0.0,0.0,0.0,0.0,0.0,781.868,1697.9155,-201.0,1711.6398,-201.0,2998.804,-201.0
0 days 00:00:00.130000,0 days 00:00:00.150000,0.1300229,-25.837593,37.29862,-0.051785138,-0.0057388633,0.0,0.0,0.0,0.0,0.0,0.0,892.91895,1763.2164,-201.0,1737.2169,-201.0,3024.6804,-201.0
0 days 00:00:00.140000,0 days 00:00:00.160000,0.14017224,-26.947615,39.164394,-0.052216742,-0.0073137074,0.0,0.0,0.0,0.0,0.0,0.0,978.603,1540.543,-201.0,1965.7028,-201.0,3002.5305,-201.0
0 days 00:00:00.150000,0 days 00:00:00.170000,0.17715462,-26.017355,40.361706,-0.051363185,-0.0071128174,0.0,0.0,0.0,0.0,0.0,0.0,1059.3289,1316.3368,-201.0,2098.7512,-201.0,3007.128,-201.0
0 days 00:00:00.160000,0 days 00:00:00.180000,0.23599537,-22.43821,38.270863,-0.05890918,-0.0011078143,0.0,0.0,0.0,0.0,0.0,0.0,1026.0149,1069.2748,-201.0,2171.0754,-201.0,2994.4246,-201.0
0 days 00:00:00.170000,0 days 00:00:00.190000,0.270748,-21.066229,37.406338,-0.07224932,-0.0011383318,0.0,0.0,0.0,0.0,0.0,0.0,941.47296,1030.4976,-201.0,2003.4463,-201.0,2998.8718,-201.0
0 days 00:00:00.180000,0 days 00:00:00.200000,0.24960494,-23.659082,39.90212,-0.07684204,-0.005019402,0.0,0.0,0.0,0.0,0.0,0.0,884.43427,1052.1896,-201.0,1909.4879,-201.0,2979.9778,-201.0
0 days 00:00:00.190000,0 days 00:00:00.210000,0.19078,-26.277288,40.376453,-0.07131084,-0.010567777,0.0,0.0,0.0,0.0,0.0,0.0,902.97656,1260.0345,-201.0,1837.3408,-201.0,3014.2957,-201.0
0 days 00:00:00.200000,0 days 00:00:00.220000,0.15201582,-26.765112,40.34737,-0.053424314,-0.009335767,0.0,0.0,0.0,0.0,0.0,0.0,866.55664,1394.0865,-201.0,1773.4274,-201.0,2951.0605,-201.0
0 days 00:00:00.210000,0 days 00:00:00.230000,0.1370703,-25.217707,38.052464,-0.04893632,-0.0044153645,0.0,0.0,0.0,0.0,0.0,0.0,724.94147,1535.006,-201.0,1667.8981,-201.0,2933.7732,-201.0
0 days 00:00:00.220000,0 days 00:00:00.240000,0.13503419,-25.777067,38.526943,-0.04373957,-0.006777164,0.0,0.0,0.0,0.0,0.0,0.0,539.56494,1425.6094,-201.0,1645.9746,-201.0,2760.7317,-201.0
0 days 00:00:00.230000,0 days 00:00:00.250000,0.12732482,-28.28692,40.35786,-0.054319292,-0.006447566,0.0,0.0,0.0,0.0,0.0,0.0,706.8532,1468.317,-201.0,1951.3512,-201.0,3185.741,-201.0
0 days 00:00:00.240000,0 days 00:00:00.260000,0.12413367,-29.39347,43.13452,-0.05500014,-0.003198345,0.0,0.0,0.0,0.0,0.0,0.0,936.9043,1480.724,-201.0,2070.7947,-201.0,3188.826,-201.0
0 days 00:00:00.250000,0 days 00:00:00.270000,0.11520281,-25.992422,39.79298,-0.04803135,-0.0033146332,0.0,0.0,0.0,0.0,0.0,0.0,999.31177,1592.5406,-201.0,2044.9347,-201.0,3255.1653,-201.0
0 days 00:00:00.260000,0 days 00:00:00.280000,0.11206585,-23.660723,37.553516,-0.037410513,-0.0070649334,0.0,0.0,0.0,0.0,0.0,0.0,790.20844,1718.3136,-201.0,1769.6315,-201.0,2944.5781,-201.0
0 days 00:00:00.270000,0 days 00:00:00.290000,0.107107736,-21.588213,32.864136,-0.02647953,-0.009379855,0.0,0.0,0.0,0.0,0.0,0.0,579.3145,1592.0094,-201.0,1641.1046,-201.0,2749.8167,-201.0
0 days 00:00:00.280000,0 days 00:00:00.300000,0.10850815,-23.874437,35.674976,-0.043197233,-0.0043850373,0.0,0.0,0.0,0.0,0.0,0.0,676.0367,1496.187,-201.0,1685.0592,-201.0,2797.7341,-201.0
0 days 00:00:00.290000,0 days 00:00:00.310000,0.10664046,-23.965525,36.304775,-0.04894569,0.001953546,0.0,0.0,0.0,0.0,0.0,0.0,579.95294,1315.7051,-201.0,1553.5742,-201.0,2604.1724,-201.0
0 days 00:00:00.300000,0 days 00:00:00.320000,0.10974619,-26.85995,42.68616,-0.061795842,0.0017833547,0.0,0.0,0.0,0.0,0.0,0.0,826.4995,1318.0725,-201.0,1884.1952,-201.0,3072.4512,-201.0
0 days 00:00:00.310000,0 days 00:00:00.330000,0.112170614,-26.257837,41.84493,-0.04974537,0.0037989516,0.0,0.0,0.0,0.0,0.0,0.0,637.6309,1310.1534,-201.0,1767.2198,-201.0,2931.9695,-201.0
0 days 00:00:00.320000,0 days 00:00:00.340000,0.13254237,-26.160248,39.19122,-0.04634062,0.0011033191,0.0,0.0,0.0,0.0,0.0,0.0,951.68164,1193.1898,-201.0,2130.3088,-201.0,3328.326,-201.0
0 days 00:00:00.330000,0 days 00:00:00.350000,0.14268216,-24.359085,35.215805,-0.043635417,-0.0011284725,0.0,0.0,0.0,0.0,0.0,0.0,853.314,1259.6411,-201.0,1929.9082,-201.0,3049.6104,-201.0
0 days 00:00:00.340000,0 days 00:00:00.360000,0.14830524,-23.525808,34.638508,-0.04298156,-0.000557275,0.0,0.0,0.0,0.0,0.0,0.0,1021.3455,1372.0905,-201.0,2050.3733,-201.0,3237.575,-201.0
0 days 00:00:00.350000,0 days 00:00:00.370000,0.13453801,-22.306787,33.62041,-0.03406052,-0.00023754842,0.0,0.0,0.0,0.0,0.0,0.0,665.51544,1599.2773,-201.0,1719.5161,-201.0,2929.1406,-201.0
0 days 00:00:00.360000,0 days 00:00:00.380000,0.12653254,-23.358389,34.20345,-0.033658355,0.0022446916,0.0,0.0,0.0,0.0,0.0,0.0,672.9446,1589.7137,-201.0,1711.3203,-201.0,2922.2498,-201.0
0 days 00:00:00.370000,0 days 00:00:00.390000,0.12096191,-25.626207,35.867355,-0.04722323,0.000834022,0.0,0.0,0.0,0.0,0.0,0.0,826.6035,1519.7773,-201.0,1922.7545,-201.0,2844.068,-201.0
0 days 00:00:00.380000,0 days 00:00:00.400000,0.12386312,-27.889322,38.01039,-0.05400005,-0.0014404329,0.0,0.0,0.0,0.0,0.0,0.0,1049.7423,1528.9681,-201.0,2074.3699,-201.0,2946.4714,-201.0
0 days 00:00:00.390000,0 days 00:00:00.410000,0.12610118,-25.73085,34.525646,-0.048740935,-0.0044228123,0.0,0.0,0.0,0.0,0.0,0.0,1035.4905,1559.5977,-201.0,2056.348,-201.0,2982.996,-201.0
0 days 00:00:00.400000,0 days 00:00:00.420000,0.12562789,-21.53597,31.22399,-0.025385834,-0.0028599733,0.0,0.0,0.0,0.0,0.0,0.0,721.35114,1650.4371,-201.0,1687.34,-201.0,2723.9417,-201.0
0 days 00:00:00.410000,0 days 00:00:00.430000,0.12474289,-19.910292,29.606047,-0.026519211,-0.00076807867,0.0,0.0,0.0,0.0,0.0,0.0,545.4693,1558.6425,-201.0,1557.8228,-201.0,2561.1309,-201.0
0 days 00:00:00.420000,0 days 00:00:00.440000,0.12566335,-19.422577,31.611254,-0.024573276,-0.0008767016,0.0,0.0,0.0,0.0,0.0,0.0,543.3545,1544.4756,-201.0,1549.2826,-201.0,2548.362,-201.0
0 days 00:00:00.430000,0 days 00:00:00.450000,0.12953164,-23.678194,33.967197,-0.041016202,-0.0018014038,0.0,0.0,0.0,0.0,0.0,0.0,716.7243,1451.4738,-201.0,1731.8568,-201.0,2768.1628,-201.0
0 days 00:00:00.440000,0 days 00:00:00.460000,0.13253573,-21.709373,31.47322,-0.03449771,-0.0040109404,0.0,0.0,0.0,0.0,0.0,0.0,840.8494,1597.6276,-201.0,1793.2354,-201.0,2864.9954,-201.0
0 days 00:00:00.450000,0 days 00:00:00.470000,0.14369267,-19.681704,27.284424,-0.019009097,-0.004402498,0.0,0.0,0.0,0.0,0.0,0.0,894.1472,1802.2129,-201.0,1823.9067,-201.0,2872.5195,-201.0
0 days 00:00:00.460000,0 days 00:00:00.480000,0.14707048,-17.831945,26.891397,-0.019150192,-0.0065806806,0.0,0.0,0.0,0.0,0.0,0.0,888.7405,1772.1172,-201.0,1815.6495,-201.0,2945.365,-201.0
0 days 00:00:00.470000,0 days 00:00:00.490000,0.15053989,-20.38558,29.063925,-0.032676563,-0.0025489528,0.0,0.0,0.0,0.0,0.0,0.0,749.0371,1698.6239,-201.0,1773.4873,-201.0,2873.332,-201.0
0 days 00:00:00.480000,0 days 00:00:00.500000,0.14984648,-21.726545,31.70468,-0.04604079,0.003618663,0.0,0.0,0.0,0.0,0.0,0.0,721.2059,1388.3608,-201.0,1812.3424,-201.0,2852.6887,-201.0
0 days 00:00:00.490000,0 days 00:00:00.510000,0.15514569,-20.352434,30.861002,-0.03377158,0.0069873594,0.0,0.0,0.0,0.0,0.0,0.0,697.7515,1632.8668,-201.0,1687.4872,-201.0,2737.5598,-201.0
0 days 00:00:00.500000,0 days 00:00:00.520000,0.15781404,-20.434704,32.875675,-0.034859106,0.0072102915,0.0,0.0,0.0,0.0,0.0,0.0,731.30206,1641.1525,-201.0,1642.2997,-201.0,2795.006,-201.0
0 days 00:00:00.510000,0 days 00:00:00.530000,0.16589355,-20.139795,31.449541,-0.03634743,0.0054914206,0.0,0.0,0.0,0.0,0.0,0.0,764.3914,1722.3794,-201.0,1628.4634,-201.0,2804.1497,-201.0
0 days 00:00:00.520000,0 days 00:00:00.540000,0.16933906,-19.003391,29.341478,-0.03786056,0.006859017,0.0,0.0,0.0,0.0,0.0,0.0,618.2578,1496.9723,-201.0,1581.4772,-201.0,2699.785,-201.0
0 days 00:00:00.530000,0 days 00:00:00.550000,0.17368303,-17.552683,26.594767,-0.03594264,0.007538742,0.0,0.0,0.0,0.0,0.0,0.0,864.2754,1360.1876,-201.0,1704.0231,-201.0,2677.1926,-201.0
0 days 00:00:00.540000,0 days 00:00:00.560000,0.17349148,-15.556256,24.809652,-0.025417686,0.006081127,0.0,0.0,0.0,0.0,0.0,0.0,854.2383,1572.111,-201.0,1641.6554,-201.0,2573.9485,-201.0
0 days 00:00:00.550000,0 days 00:00:00.570000,0.18113399,-14.989793,23.982918,-0.025848106,0.003887236,0.0,0.0,0.0,0.0,0.0,0.0,1045.7152,1544.57,-201.0,1830.6002,-201.0,2845.0906,-201.0
0 days 00:00:00.560000,0 days 00:00:00.580000,0.19008875,-12.023483,20.51255,-0.02496477,0.007111346,0.0,0.0,0.0,0.0,0.0,0.0,975.5259,1473.0449,-201.0,1871.6576,-201.0,2916.0107,-201.0
0 days 00:00:00.570000,0 days 00:00:00.590000,0.19173963,-12.38646,21.67623,-0.0385898,0.015226922,0.0,0.0,0.0,0.0,0.0,0.0,995.6062,1103.9987,-201.0,1909.8394,-201.0,2990.9768,-201.0
0 days 00:00:00.580000,0 days 00:00:00.600000,0.19029863,-12.715766,22.428255,-0.04553081,0.019033426,0.0,0.0,0.0,0.0,0.0,0.0,1032.2938,1237.879,-201.0,1833.7635,-201.0,2907.5027,-201.0
0 days 00:00:00.590000,0 days 00:00:00.610000,0.19119865,-11.885368,22.197687,-0.037626665,0.01603565,0.0,0.0,0.0,0.0,0.0,0.0,844.1075,1368.7578,-201.0,1602.5455,-201.0,2608.7327,-201.0
0 days 00:00:00.600000,0 days 00:00:00.620000,0.18722875,-11.064427,18.547174,-0.03590244,0.010503489,0.0,0.0,0.0,0.0,0.0,0.0,828.46387,1540.1078,-201.0,1582.1276,-201.0,2659.0674,-201.0
0 days 00:00:00.610000,0 days 00:00:00.630000,0.1923786,-11.709526,18.521013,-0.03401198,0.0101565635,0.0,0.0,0.0,0.0,0.0,0.0,869.3295,1406.8701,-201.0,1720.8043,-201.0,2725.8193,-201.0
0 days 00:00:00.620000,0 days 00:00:00.640000,0.18817739,-14.406184,22.257454,-0.041567247,0.013257924,0.0,0.0,0.0,0.0,0.0,0.0,1072.8163,1246.808,-201.0,1941.4711,-201.0,3053.8777,-201.0
0 days 00:00:00.630000,0 days 00:00:00.650000,0.19561969,-15.216702,24.768946,-0.0398557,0.010610804,0.0,0.0,0.0,0.0,0.0,0.0,1138.7037,1223.1023,-201.0,1969.6093,-201.0,3081.4082,-201.0
0 days 00:00:00.640000,0 days 00:00:00.660000,0.19333665,-14.255722,22.412766,-0.033262223,0.010710992,0.0,0.0,0.0,0.0,0.0,0.0,1116.2638,1231.98,-201.0,1936.7178,-201.0,3072.1921,-201.0
0 days 00:00:00.650000,0 days 00:00:00.670000,0.18978424,-14.01237,22.552,-0.036154542,0.013097748,0.0,0.0,0.0,0.0,0.0,0.0,1133.9136,1307.3375,-201.0,1893.066,-201.0,2967.2585,-201.0
0 days 00:00:00.660000,0 days 00:00:00.680000,0.18214762,-15.675034,25.890327,-0.038687635,0.017776662,0.0,0.0,0.0,0.0,0.0,0.0,997.2549,1358.9916,-201.0,1813.623,-201.0,2883.555,-201.0
0 days 00:00:00.670000,0 days 00:00:00.690000,0.1706388,-17.28209,30.14097,-0.04747438,0.020061167,0.0,0.0,0.0,0.0,0.0,0.0,734.9471,1492.6567,-201.0,1566.4996,-201.0,2649.8972,-201.0
0 days 00:00:00.680000,0 days 00:00:00.700000,0.16695797,-15.694797,26.246378,-0.033420626,0.014244113,0.0,0.0,0.0,0.0,0.0,0.0,538.4097,2434.375,-201.0,1489.7552,-201.0,2374.0574,-201.0
0 days 00:00:00.690000,0 days 00:00:00.710000,0.16893655,-15.077202,24.963545,-0.025521308,0.012852619,0.0,0.0,0.0,0.0,0.0,0.0,558.36426,2500.147,-201.0,1527.0367,-201.0,2520.7385,-201.0
0 days 00:00:00.700000,0 days 00:00:00.720000,0.19997625,-14.233562,21.486155,-0.019515065,0.0038649922,0.0,0.0,0.0,0.0,0.0,0.0,589.7385,2378.1865,-136.80354,1550.7223,-146.55673,2497.6404,-141.40723
0 days 00:00:00.710000,0 days 00:00:00.730000,0.24368751,-15.631381,22.589243,-0.019527927,-0.002074615,37.029114,0.0,0.0,6.786088,11.04458,16.065989,695.6115,1449.4098,-75.96313,1663.5968,-89.73466,2752.4277,-82.890076
0 days 00:00:00.720000,0 days 00:00:00.740000,0.29017177,-15.516597,19.526848,-0.019741366,-0.008829936,37.008167,0.0,0.0,7.9101224,11.386814,18.069841,765.7375,2018.9199,-20.750238,1605.8029,-34.032925,2452.6594,-25.243805
0 days 00:00:00.730000,0 days 00:00:00.750000,0.31666192,-17.498934,21.043085,-0.010742261,-0.016238289,36.954845,0.057860218,3.4371336,9.566055,12.101303,21.943316,846.8384,1983.0863,-23.967224,1802.8405,-31.063276,2617.7085,-28.040426
0 days 00:00:00.740000,0 days 00:00:00.760000,0.33000812,-20.28374,23.486448,-0.00881726,-0.021843115,36.91299,0.048455205,2.4706595,9.874003,12.374326,25.43503,775.2161,2021.7435,-23.452126,1814.9238,-30.565443,2616.5159,-30.744019
0 days 00:00:00.750000,0 days 00:00:00.770000,0.3393151,-22.877558,26.289099,0.0023939637,-0.026825907,36.8803,0.049681753,0.7838783,9.19391,11.159252,29.465294,673.8123,1345.0479,-15.938034,1916.3927,-27.23047,2788.6677,-34.244076
0 days 00:00:00.760000,0 days 00:00:00.780000,0.341471,-23.49116,26.737854,0.0034504735,-0.025854476,36.836933,0.034368355,0.54808086,7.336593,7.9547715,28.677496,694.5718,1316.9878,-12.246865,1899.1151,-23.898329,2806.3274,-32.96959
0 days 00:00:00.770000,0 days 00:00:00.790000,0.33445737,-24.243086,27.409529,0.007743549,-0.02314116,36.749153,0.038291812,0.4409782,5.33112,3.2494318,29.10405,632.78876,1273.8682,-7.724411,1810.3134,-22.18895,2762.1067,-32.930416
0 days 00:00:00.780000,0 days 00:00:00.800000,0.40375867,-21.450338,24.734947,0.005419088,-0.027888885,36.404636,0.029162532,0.5927022,4.3693624,-2.519532,16.62616,532.8339,1251.9774,-5.9437995,1737.8062,-15.629631,2403.0732,-21.4806
0 days 00:00:00.790000,0 days 00:00:00.810000,0.5618043,-16.815756,19.777231,0.0057833195,-0.03276126,36.064648,0.021020377,1.0876886,5.3236947,-6.2810783,7.023602,439.56946,1269.0826,-5.359365,1598.9056,-10.624908,2156.1555,-12.382966
0 days 00:00:00.800000,0 days 00:00:00.820000,0.7498631,-10.92609,13.983009,0.0020329964,-0.038173225,35.75706,0.016219156,1.6190935,6.658794,-7.6112456,-5.119884,466.03506,1207.2133,-4.989592,1607.4227,-1.288196,2061.9163,0.1302921
