start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00,0 days 00:00:00.020000,0.14963959,-18.320843,29.72907,-0.03591316,-0.003996565,0.033177987,29.131815,8.457002,10.256844,12.838084,0.0,0.0,0.0,0.0,0.0,0.0,891.5871,1693.1748,-201.0,1764.6412,1250.1718,-201.0,3023.4744,1032.6344,-201.0
0 days 00:00:00.010000,0 days 00:00:00.030000,0.14411373,-20.328825,30.966599,-0.039708838,-0.006769769,0.055042814,28.267326,8.246692,10.311575,11.057712,0.0,0.0,0.0,0.0,0.0,0.0,716.4998,1550.4928,-201.0,1722.4532,1105.5963,-201.0,2977.3982,930.0496,-201.0
0 days 00:00:00.020000,0 days 00:00:00.040000,0.14471768,-22.023573,33.40317,-0.044488356,-0.012584474,0.07330852,29.694178,8.389603,10.920677,9.993968,0.0,0.0,0.0,0.0,0.0,0.0,529.42865,1405.9867,-201.0,1658.7323,948.56195,-201.0,2924.2717,1040.4308,-201.0
0 days 00:00:00.030000,0 days 00:00:00.050000,0.14084971,-19.772419,32.468937,-0.030995319,-0.005072335,0.07908269,29.874529,7.9403424,7.8290343,11.941295,0.0,0.0,0.0,0.0,0.0,0.0,581.1369,1251.7595,-201.0,1622.7109,910.97046,-201.0,2884.8088,1000.6091,-201.0
0 days 00:00:00.040000,0 days 00:00:00.060000,0.13837649,-18.247465,31.90571,-0.02682122,-0.0041648443,0.06593096,30.859201,8.677992,8.706218,14.285129,0.0,0.0,0.0,0.0,0.0,0.0,577.2601,1308.0349,-201.0,1632.5182,930.94586,-201.0,2898.9192,1102.7744,-201.0
0 days 00:00:00.050000,0 days 00:00:00.070000,0.12868258,-17.103148,29.956297,-0.024052443,-0.0005850363,0.05786499,29.247559,9.7822485,7.924717,16.728243,0.0,0.0,0.0,0.0,0.0,0.0,568.1329,1362.1205,-201.0,1644.2489,883.6464,-201.0,2958.32,884.13605,-201.0
0 days 00:00:00.060000,0 days 00:00:00.080000,0.122579835,-17.496897,29.719315,-0.024861122,-0.0033237187,0.037533447,26.991438,10.010588,9.864433,13.711766,0.0,0.0,0.0,0.0,0.0,0.0,434.58957,1393.7772,-201.0,1591.4188,839.1983,-201.0,2944.3604,849.4422,-201.0
0 days 00:00:00.070000,0 days 00:00:00.090000,0.123036146,-16.486244,26.877298,-0.021500254,-0.004644543,0.04525062,26.106375,10.05231,7.709162,13.569356,0.0,0.0,0.0,0.0,0.0,0.0,426.68457,1425.8271,-201.0,1542.9901,1060.4344,-201.0,2619.885,957.5234,-201.0
0 days 00:00:00.080000,0 days 00:00:00.100000,0.12674779,-17.999176,28.788427,-0.022285217,-0.010800953,0.06755059,26.275251,10.547703,5.8546386,10.07131,0.0,0.0,0.0,0.0,0.0,0.0,449.5411,1318.0931,-201.0,1558.7134,1113.5903,-201.0,2564.4487,1063.9633,-201.0
0 days 00:00:00.090000,0 days 00:00:00.110000,0.12851037,-21.04931,32.37761,-0.026539331,-0.015323688,0.06249069,27.402544,13.059787,5.456386,7.537113,0.0,0.0,0.0,0.0,0.0,0.0,459.9547,1306.9413,-201.0,1580.026,1192.9563,-201.0,2549.1785,1108.2837,-201.0
