,F0final_sma,F0final_sma,voicingFinalUnclipped_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterLocal_sma,jitterDDP_sma,jitterDDP_sma,shimmerLocal_sma,shimmerLocal_sma,logHNR_sma,logHNR_sma,audspec_lengthL1norm_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_RMSenergy_sma,pcm_zcr_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[1],mfcc_sma[2],mfcc_sma[2],mfcc_sma[3],mfcc_sma[3],mfcc_sma[4],mfcc_sma[4],mfcc_sma[5],mfcc_sma[5],mfcc_sma[6],mfcc_sma[6],mfcc_sma[7],mfcc_sma[7],mfcc_sma[8],mfcc_sma[8],mfcc_sma[9],mfcc_sma[9],mfcc_sma[10],mfcc_sma[10],mfcc_sma[11],mfcc_sma[11],mfcc_sma[12],mfcc_sma[12],mfcc_sma[13],mfcc_sma[13],mfcc_sma[14],mfcc_sma[14]
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,0.0,57.36849,0.70189846,0.7290106,,,,,0.0,0.55837566,-100.0,6.386476,0.26312795,0.3170993,,,0.011264912,0.015607923,0.019652305,0.021541951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002570872,0.0021391355,0.00030381806,0.001200939,71.77734,114.84375,143.55469,129.19922,186.6211,129.19922,315.8203,172.26562,0.040325046,0.040570065,225.01355,170.89082,2.8910828,1.8246399,474253.84,150453.78,19.317572,25.432837,492.12534,1069.4357,-0.002544784,-0.010932884,0.21618555,0.16825624,0.0037323618,0.024251858,29.172842,26.747004,8.803218,8.724936,10.158179,23.846045,13.632541,31.076736,5.4918904,18.08413,-4.640697,-7.4322057,4.772458,-2.2317746,11.6965685,33.691055,2.541564,0.5289933,-8.211322,-8.061394,-0.86627465,11.153283,-4.1464133,0.869404,-1.1672071,-6.969483,2.1708577,-12.194729
1,0.0,59.07105,0.0,0.72550005,,,,,0.0,0.55837566,-100.0,5.2740235,0.25361475,0.31702366,,,0.00966991,0.012478732,0.019400353,0.026077097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021891526,0.0020342146,0.00026045175,0.0011662362,57.421875,100.48828,100.48828,114.84375,143.55469,129.19922,272.7539,200.97656,0.06746497,0.07149539,184.16399,194.46748,2.4967234,2.207413,406330.1,261455.12,20.465956,20.802908,544.35486,737.8145,-0.002749048,-0.007412274,0.17418061,0.18391639,0.0023291984,0.01451765,28.273447,25.825857,8.72566,5.760652,10.174152,20.361683,12.015159,27.398224,2.904498,17.096178,-2.9254024,-4.7485943,8.171335,-4.6219487,13.527438,27.567726,8.053154,2.5811403,-6.17338,-6.3868213,4.138994,10.97804,0.4788011,-0.02712679,-1.6131014,-4.6836305,4.800928,-8.375993
2,0.0,60.32957,0.69899005,0.70526505,,,,,0.0,0.55837566,-100.0,4.17213,0.2550486,0.31681946,,,0.008633883,0.008863888,0.020282187,0.031997982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022915176,0.0020563656,0.00025147083,0.001262276,43.066406,71.77734,71.77734,129.19922,129.19922,215.33203,272.7539,732.1289,0.09125308,0.10215032,154.41591,317.912,2.3663228,2.947704,328207.78,660826.06,21.88521,13.723213,606.7393,320.21866,-0.0033545385,-0.0033108888,0.14574365,0.27634272,0.001078178,0.004772254,29.611338,24.083342,9.020733,1.7359047,10.669913,16.126307,11.095258,21.426697,1.5069686,9.827838,-2.063413,-9.676086,10.850925,-5.3177276,18.07022,25.558363,6.715673,2.2399194,-9.295776,-6.7412696,6.8523097,12.387744,4.8192725,0.92195225,1.9887232,1.652146,5.9741807,-1.1036669
3,0.0,61.870834,0.69205815,0.6947865,,,,,0.0,0.55837566,-100.0,2.953078,0.24824579,0.31868175,,,0.008531097,0.007380352,0.022675738,0.03590325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018248255,0.0021918735,0.00029315558,0.0015269985,71.77734,57.421875,86.13281,100.48828,157.91016,272.7539,344.53125,1234.5703,0.079521954,0.08234402,193.58406,383.57956,2.5821354,3.22863,430489.38,835455.8,19.391428,10.888337,466.3629,205.34618,-0.0024711334,-0.002040512,0.18289971,0.32215565,0.0013998604,0.0011968891,29.749826,23.674683,8.566742,-1.65194,7.618263,11.890979,12.954349,16.733635,5.038099,10.804885,-1.5165329,-12.328145,3.8276746,-7.2142844,17.82049,23.685526,4.204297,-1.4162998,-10.48347,-9.274201,6.637962,11.898811,10.72092,5.6385875,3.788864,3.1691563,2.3041172,1.0862259
4,0.0,60.27297,0.7089837,0.69179183,,,,,0.0,0.55837566,-100.0,3.4365647,0.24390192,0.31826887,0.9751098,0.9879217,0.007882256,0.006884198,0.022801712,0.036155205,0.125355,0.122695066,0.28110608,0.25351894,0.40982828,0.40671757,0.54672694,0.5504969,0.6783026,0.6726957,0.740845,0.7712218,0.817559,0.8509712,0.882117,0.9649537,0.971293,1.0236684,1.0524712,1.0518843,1.0868764,1.0678519,1.1687067,1.1523228,1.2318671,1.2372358,1.2633175,1.2874304,1.2842008,1.3264197,1.3152238,1.3609457,1.4029919,1.383451,1.4152104,1.4595715,1.4297444,1.4432721,1.4358066,1.4409795,1.3597627,1.3664637,1.2112652,1.2326736,1.037987,1.0647402,0.8763907,0.8803844,0.7269078,0.7226569,0.6009883,0.5907371,0.0017846205,0.0018721613,0.00028997203,0.0016534174,86.13281,43.066406,,,186.6211,344.53125,358.88672,1708.3008,0.063846886,0.06975943,218.64702,449.05307,2.7769907,3.4731424,478627.78,993837.3,18.622526,8.721734,426.03845,130.9408,-0.0022359064,-0.0015234179,0.20986445,0.37043667,0.0023003975,0.0010737004,30.65127,23.387472,9.245074,-3.0297966,8.349901,9.3013115,15.086535,14.4998255,7.2754955,6.2353344,-2.051671,-13.898331,1.6098042,-3.4440267,19.480585,29.992346,0.8417093,-3.39561,-11.147264,-13.657639,5.095203,11.583336,8.712773,8.759543,3.7763386,6.1376705,-1.2970945,1.1535186
5,0.0,58.904037,0.705272,0.7143467,,,,,0.0,0.55837566,-100.0,3.8961115,0.22661829,0.3171252,0.9498736,0.98543054,0.006822497,0.0065685324,0.021667928,0.035399344,0.12039823,0.11363246,0.30190954,0.23653394,0.39992714,0.38164142,0.5174796,0.5326851,0.6780579,0.6642699,0.6917638,0.7726156,0.7906015,0.8605475,0.82953304,1.0383025,0.9364657,1.075991,1.0437394,1.0562524,1.0516407,1.0061849,1.1636353,1.1425537,1.2685094,1.3013762,1.2595547,1.3329759,1.220347,1.3364521,1.2112852,1.3132406,1.3477588,1.321814,1.3426567,1.4480482,1.3737742,1.422598,1.4315935,1.4531533,1.3621799,1.3661867,1.1796565,1.244846,0.9954141,1.0469085,0.8524738,0.8539373,0.71843666,0.7070655,0.6079182,0.59137994,0.0010920551,0.001297033,0.0002635379,0.0018628039,100.48828,57.421875,129.19922,100.48828,186.6211,373.2422,301.46484,1722.6562,0.04972126,0.0546152,234.1262,459.23413,2.647851,3.3973396,559922.1,930277.8,17.565643,8.583686,373.2675,133.2918,-0.0016264422,-0.0015438726,0.22379248,0.3751813,0.0029710277,0.0014931848,28.996027,23.52832,10.250886,-3.5221345,7.462942,8.322376,17.379875,16.51977,9.485198,12.099655,-3.0912085,-10.930892,3.168335,-3.0166633,23.928812,33.92187,5.173037,-3.85758,-11.176926,-15.218449,4.402061,9.208968,8.168012,10.1217,-0.5218186,1.8890586,-3.9302635,-1.9648266
6,0.0,57.863384,0.71581763,0.7333254,,,,,0.0,0.55837566,-67.65284,2.9122174,0.21606202,0.3105305,0.9180293,0.98077315,0.005769626,0.0057148063,0.019778281,0.03602923,0.110581435,0.10491544,0.3113811,0.22734673,0.37957624,0.3495846,0.47061732,0.50320464,0.6719224,0.65604454,0.6334134,0.76728964,0.7569962,0.84605026,0.7593643,1.1085168,0.87060446,1.1429414,0.9771852,1.0272919,1.0115861,0.97069424,1.1485271,1.1538254,1.2834932,1.3667759,1.2639287,1.395384,1.1529186,1.3313316,1.0787238,1.2290035,1.2766342,1.2423778,1.2895766,1.4415354,1.3116499,1.4218944,1.4174505,1.4593626,1.3837248,1.3641461,1.170085,1.2641126,0.9614778,1.0218321,0.8408535,0.82441854,0.7176602,0.6870628,0.6188304,0.5931568,0.0009014548,0.0011387704,0.0001969721,0.0017685503,,,,,229.6875,689.0625,330.17578,1765.7227,0.04775077,0.048527658,267.83328,544.9074,2.7800283,3.770151,822134.25,1056393.0,15.488187,7.814793,296.81058,111.957275,-0.0012990114,-0.001232817,0.24812134,0.4437461,0.0022975572,0.0015007312,26.852144,22.90734,10.700935,-2.785279,9.613816,10.117114,14.747489,16.261883,5.7149467,11.256978,-8.678418,-14.152077,2.2521095,-4.673043,26.700994,37.51585,6.303459,-1.9372128,-11.758971,-15.35535,2.3421116,11.829261,8.094206,12.310781,0.16409867,3.84505,-2.1805444,1.7313083
7,56.418694,67.7461,0.71448994,0.73848766,,,,,0.0,0.55837566,-35.290646,3.0901477,0.21662675,0.30518195,0.89889055,0.9678302,0.005085831,0.0058411025,0.018770471,0.03451751,0.102077365,0.100626945,0.29888147,0.23822667,0.361768,0.3331782,0.4369069,0.473454,0.65350807,0.6484653,0.6063046,0.7541163,0.75196314,0.7915394,0.70865077,1.082578,0.8036153,1.158332,0.8589279,0.9468326,0.97323686,0.95034933,1.0929483,1.1527581,1.2676635,1.4099671,1.2777969,1.4496161,1.1528965,1.3308021,1.018859,1.1335169,1.221353,1.1841753,1.2821436,1.4112605,1.2731701,1.4445642,1.40377,1.4620733,1.4294144,1.3438035,1.2020837,1.2903125,0.9730942,0.9955928,0.85742897,0.8090773,0.7411172,0.6735816,0.62157565,0.59478456,0.0010047918,0.0013858549,0.00019861352,0.001919066,71.77734,86.13281,143.55469,186.6211,272.7539,1119.7266,430.66406,1808.7891,0.052681457,0.04782856,306.68542,637.37134,3.0691862,3.958644,1067609.5,1233573.1,13.30645,7.2270617,221.65324,95.84878,-0.0010376467,-0.0010714362,0.2788656,0.5153439,0.001744931,0.0018439372,25.962057,22.422617,10.728278,-2.91802,7.548056,11.07618,14.644567,18.355444,3.3244002,13.093799,-10.8764715,-18.258001,3.7523124,-8.610461,24.58985,34.6691,4.238542,-4.530868,-12.907603,-18.284626,3.840865,12.024112,8.888625,13.461429,1.2462273,0.97206575,-2.0211523,-0.9990279
8,56.737637,77.74317,0.7423752,0.7197291,,,,,0.0,0.4376099,-2.9453201,3.149173,0.22324665,0.30187234,0.89798635,0.9502117,0.0054227686,0.007530752,0.015873015,0.031368103,0.094287015,0.10388678,0.26532832,0.2544419,0.3470012,0.3465475,0.44112253,0.45735267,0.6451954,0.6551266,0.6244404,0.7603715,0.7709463,0.7159627,0.69140357,0.99931926,0.79874015,1.154765,0.7436371,0.8603433,0.94678956,0.9604445,1.0529658,1.143978,1.2257723,1.395012,1.275967,1.4443601,1.1743226,1.2945012,1.0197343,1.0686107,1.2154374,1.1407914,1.3205014,1.4015975,1.2671288,1.4515702,1.37875,1.4201517,1.4748335,1.3276182,1.2517632,1.2966037,1.0098488,0.9859142,0.883924,0.8129181,0.79491204,0.6693651,0.6328902,0.5839514,0.001247099,0.0016406473,0.00017756742,0.0015335395,57.421875,71.77734,114.84375,172.26562,272.7539,1004.8828,502.4414,1263.2812,0.068892166,0.09761687,298.91727,493.4885,3.1087275,3.462909,1081803.9,914119.2,12.719588,13.614278,199.66505,418.39478,-0.0011307545,-0.0035100384,0.2694459,0.40508136,0.0011082689,0.0012670538,26.275307,24.192907,11.338626,0.5657158,6.0188622,12.200831,11.335261,19.558786,-1.8983251,12.136707,-9.725966,-15.045871,2.9192915,-5.9030213,22.715006,32.2422,4.7074275,0.62904626,-12.267131,-16.41555,0.9559787,13.0889435,9.1004715,13.001254,4.645926,3.1581562,0.22063656,-3.2935426
9,57.450394,87.78177,0.757252,0.71497065,0.0,0.83361083,,,0.0,0.31684414,-0.27499947,3.3344638,0.22650951,0.29274774,0.90989524,0.92879826,0.007184711,0.00915342,0.012597632,0.026203074,0.09351174,0.1137647,0.23414086,0.27275276,0.35169306,0.39554587,0.4920304,0.4621779,0.65536404,0.66623026,0.68762636,0.7947996,0.8452695,0.6687493,0.7180097,0.9030959,0.80770135,1.1285726,0.71182543,0.81303567,0.9279208,0.9288194,1.0127236,1.0965892,1.1499205,1.2961036,1.2413529,1.3830167,1.1937904,1.2576629,1.0735092,1.0516695,1.25464,1.1310687,1.3564628,1.3863176,1.269147,1.4201312,1.3518324,1.3627807,1.5096794,1.3020713,1.2748766,1.2686391,1.0434458,0.96492046,0.9018634,0.82895833,0.85226136,0.68151045,0.6466779,0.56977135,0.0017820086,0.0021663827,0.00014251744,0.0011131845,57.421875,71.77734,71.77734,143.55469,215.33203,660.35156,473.73047,760.83984,0.056461353,0.12842238,241.24852,352.04544,2.725728,3.0794258,831903.44,673478.9,14.660579,16.403461,262.71887,497.282,-0.001617326,-0.0040908526,0.22083269,0.29846546,0.0011476749,0.0011218846,27.493876,25.601793,13.819821,4.040545,5.75572,14.989624,8.78113,20.465235,-4.783324,11.351878,-7.8920045,-10.413181,5.508159,-4.800864,22.135809,29.970886,7.1533165,-3.8490264,-6.5435505,-14.333022,2.69653,13.148875,5.758335,8.073073,1.4166126,-0.7694188,0.46094334,-8.285918
