,start,start,end,end,F0final_sma_de,F0final_sma_de,voicingFinalUnclipped_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,shimmerLocal_sma_de,logHNR_sma_de,logHNR_sma_de,audspec_lengthL1norm_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband250-650_sma_de,pcm_fftMag_fband250-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralCentroid_sma_de,pcm_fftMag_spectralCentroid_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_psySharpness_sma_de,pcm_fftMag_psySharpness_sma_de,pcm_fftMag_spectralHarmonicity_sma_de,pcm_fftMag_spectralHarmonicity_sma_de,mfcc_sma_de[1],mfcc_sma_de[1],mfcc_sma_de[2],mfcc_sma_de[2],mfcc_sma_de[3],mfcc_sma_de[3],mfcc_sma_de[4],mfcc_sma_de[4],mfcc_sma_de[5],mfcc_sma_de[5],mfcc_sma_de[6],mfcc_sma_de[6],mfcc_sma_de[7],mfcc_sma_de[7],mfcc_sma_de[8],mfcc_sma_de[8],mfcc_sma_de[9],mfcc_sma_de[9],mfcc_sma_de[10],mfcc_sma_de[10],mfcc_sma_de[11],mfcc_sma_de[11],mfcc_sma_de[12],mfcc_sma_de[12],mfcc_sma_de[13],mfcc_sma_de[13],mfcc_sma_de[14],mfcc_sma_de[14]
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,,,,,0.0,0.508315,-0.00041548695,-0.0025500804,,,,,,,0.0,-0.18470481,-0.00256719,-6.353259e-05,,,-0.000685706,-0.0016617263,0.00010078102,0.002544721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4042814e-05,-2.7046073e-05,-1.4806076e-05,8.797133e-06,-7.1777344,-10.048828,-18.66211,-1.4355469,-15.791016,17.226562,-12.919922,114.84375,0.012899598,0.015408585,-18.204485,31.761898,-0.14438793,0.26289016,-36001.586,113174.586,0.6283661,-2.8049176,28.145748,-183.00552,-0.00018237729,0.00187646,-0.018288875,0.023183312,-0.00067115313,-0.004869342,-0.0022403717,-0.62484705,0.03574724,-1.6942345,0.10394411,-1.8923838,-0.6691948,-2.2978592,-1.0557235,-1.7500534,0.68698627,-0.180415,1.5555812,-0.856208,1.4578174,-2.2388713,1.3859808,0.5473999,-0.013096714,0.43148208,2.0442438,0.22936782,2.2556586,-0.079143435,0.5865966,1.952911,1.0236716,2.6000857
1,,,,,0.0,0.34187928,-0.0009412095,-0.0023048432,,,,,,,0.0,-0.18162285,-0.0037843673,0.00028850435,,,-0.0008098658,-0.0023199178,0.00066767464,0.0039178627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00017714473,2.270611e-06,-7.3672186e-06,7.134561e-05,-2.8710938,-15.791016,-18.66211,-5.7421875,-11.484375,37.32422,1.4355469,268.44727,0.012932184,0.014512816,-13.345662,57.23986,-0.114265464,0.39310446,-23357.5,188037.62,0.2715351,-4.079862,6.308914,-247.7396,-6.6245324e-05,0.002540674,-0.013701359,0.041588534,-0.00073191867,-0.006558954,0.15924644,-0.8808304,-0.02554369,-2.7742782,-0.4568099,-3.162987,-0.38936672,-3.8336244,-0.4892505,-2.2814782,0.8825612,-1.2035758,0.41889006,-1.3050972,1.8621495,-2.8143752,0.7499575,-0.21796604,-0.5628751,-0.110549115,2.2727058,0.27255172,3.8700352,0.95909154,1.3068073,2.8898907,0.40698424,3.765297
2,,,,,0.0,0.15652265,0.00042940993,-0.0017525177,,,,,,,0.0,-0.117439546,-0.0043821023,0.00039972068,-0.0026462674,-8.388758e-05,-0.0007904124,-0.002254583,0.0009574199,0.0039052658,-0.0007722348,-0.0013042226,0.0018115401,-0.003705889,-0.0019399285,-0.0025620698,-0.0015440702,-0.00079008343,0.0017147303,0.0005933523,-0.0050102235,0.001065135,-0.005893886,0.0007885575,-0.0071424483,0.009424901,-0.0021913052,0.008283782,0.0018743515,0.001756978,-0.0030445815,-0.00684948,0.0017272949,-0.0015494823,0.002947259,0.004021001,-0.0019038677,0.0029187202,-0.008402181,4.1604042e-05,-0.012071419,-0.0029270411,-0.0030129193,-0.0069211004,-0.0066541433,0.0022180795,-0.005626631,-0.0029210807,0.000620532,0.0016551018,0.00020329953,0.001543498,-0.0042149066,6.6781045e-05,-0.0062335967,-0.00088295934,-0.0039073825,-0.0031086444,-0.001468122,-0.002318299,0.0013314486,-0.0007187963,-0.00019368301,-3.7628946e-05,5.011767e-07,0.0001265719,4.3066406,-18.66211,-7.1777344,-4.3066406,1.4355469,57.421875,15.791016,410.5664,0.0059100664,0.0069227354,-0.33129883,74.543655,-0.01427722,0.4318222,3290.7156,226076.78,-0.24646187,-4.3336773,-21.016571,-240.9458,8.9566965e-05,0.0024190696,-0.00039231032,0.054260015,-0.00037932667,-0.0059677074,0.44332352,-0.88702375,0.07247944,-3.0922055,-0.6172446,-3.756017,0.38471794,-4.381841,0.5700811,-2.9988885,0.6586922,-2.0511801,-1.0668968,-0.501684,1.9861084,-1.1279619,-0.7248566,-1.1846647,-1.0181973,-1.407987,1.4421923,0.17808771,3.596049,2.1445994,1.5289056,3.4067092,-0.9432715,3.6158714
3,,,,,0.0,-0.0052083335,0.00025624802,-0.00044724866,,,,,,,0.0,-0.038793217,-0.0065139607,0.00016524791,-0.009016639,-0.00062406657,-0.0006446453,-0.0013800089,0.00070546754,0.0022801715,-0.0021497072,-0.0037688545,0.0068780007,-0.0089558335,-0.00489012,-0.008858335,-0.008165574,-0.00474748,0.00252316,-0.00079512596,-0.017331576,0.0018764616,-0.014232332,0.0030980885,-0.02123046,0.028807115,-0.010252416,0.022890199,0.0010651827,0.0035090805,-0.011614,-0.022607613,0.0015766621,-0.00427804,0.011749351,0.01885959,-0.003608346,0.013487172,-0.02537402,0.002068889,-0.038894843,-0.013931572,-0.0155660035,-0.02270906,-0.024491942,0.00102247,-0.019633984,-0.008516443,8.817911e-05,0.004917407,0.00078839064,0.0022598624,-0.0126441,0.0025346398,-0.017864978,-0.004890776,-0.010644454,-0.009952378,-0.0038964092,-0.0065957247,0.0033831478,-0.00094962714,-0.00027010922,-0.00016585673,4.467348e-06,0.00017842768,12.919922,-11.484375,10.048828,-4.3066406,14.355469,61.728516,14.355469,401.95312,-0.0062893615,-0.0066151274,16.415554,66.067444,0.0712923,0.29052916,45760.406,167065.66,-0.9063309,-2.9439921,-52.28756,-139.83232,0.00033638434,0.0013524273,0.016334454,0.047662374,0.00025058782,-0.0029747484,0.24850921,-0.52909434,0.32747927,-2.3331275,-0.77424324,-3.0903609,1.472071,-2.8683782,1.8929927,-1.358555,-0.031987023,-1.658684,-1.9247122,0.50842714,2.221311,1.7142273,-1.1634197,-1.851297,-1.1858579,-2.4579623,-0.12309732,-0.43425512,1.9271921,2.8135245,0.3970181,1.7630904,-2.4733658,1.5079517
4,,,,,0.0,-0.08314916,0.000956511,0.0007568097,,,,,,,1.198043,-0.014334473,-0.009960066,-0.0014134437,-0.01790912,-0.0018046617,-0.0007437114,-0.00071099825,-0.00020156204,0.0007558592,-0.004608744,-0.0064185197,0.010852659,-0.012491775,-0.009950414,-0.017777313,-0.020462763,-0.012424749,0.0012715876,-0.0032827794,-0.033909786,0.0009506464,-0.023649137,0.0011562705,-0.040522598,0.050184853,-0.02690739,0.041512527,-0.013118839,-0.0018462061,-0.023148501,-0.03587245,-0.0019520998,-0.0030006052,0.018410336,0.038353562,-0.0031098365,0.030523336,-0.04524509,0.0020480275,-0.07580099,-0.0355495,-0.035314225,-0.04476,-0.042363323,-0.0014324307,-0.037655853,-0.010724569,-0.0031617284,0.0073766587,0.005339098,0.0018240452,-0.01771928,0.007605195,-0.028909523,-0.0116892215,-0.015360201,-0.01850084,-0.0048988163,-0.012155408,0.006258571,-0.00052996876,-0.00035128958,-0.0002730031,-1.3861514e-05,0.0001348354,8.613281,0.0,18.66211,2.8710938,22.96875,104.79492,7.1777344,255.52734,-0.011680531,-0.013497415,26.73769,52.96454,0.08931267,0.18136032,111728.58,88595.586,-1.4619831,-1.4121492,-71.29529,-48.857716,0.00049557455,0.00046527828,0.024564814,0.038783237,0.00040099258,-0.00062467495,-0.6272186,-0.24983673,0.5044549,-1.0912563,-0.22675148,-1.5586988,1.1729989,-1.0543493,1.2863057,0.41530505,-1.4804686,-0.7554728,-1.7856972,0.5486991,2.336987,3.415132,0.014431238,-1.0795544,-0.56198454,-2.317241,-1.1256297,-0.38068095,0.39969587,2.7260768,-0.79599315,0.310571,-2.254383,0.2618898
5,,,,,0.0,0.081225656,0.0008762287,0.0010744662,,,,,,,2.5275917,-0.0019246761,-0.009107798,-0.0034737946,-0.02359817,-0.004817051,-0.0009003162,-0.0004247891,-0.0010833964,-0.00028974487,-0.00690512,-0.0074958093,0.008394119,-0.009381564,-0.014577186,-0.022983242,-0.03111904,-0.020927882,-0.0038821935,-0.005917847,-0.042661477,-0.0027491867,-0.025069337,-0.011589909,-0.054110955,0.047306053,-0.045795698,0.047143795,-0.044362895,-0.021712601,-0.03330152,-0.040065758,-0.015442324,-0.0013121485,0.015269148,0.051521264,0.0010531306,0.04615121,-0.047791254,0.0014092684,-0.09499438,-0.061607014,-0.051976454,-0.06088357,-0.04583087,-0.009247732,-0.048750926,-0.004800427,-0.0076224087,0.0077121854,0.016529858,-0.003220284,-0.010169232,0.014738453,-0.026863068,-0.019003248,-0.011253446,-0.022966642,0.00044899582,-0.01569277,0.007233119,0.00033266546,-0.0002523233,-0.00023454281,-2.8208404e-05,8.992678e-05,-1.4355469,8.613281,14.355469,20.097656,27.27539,203.84766,14.355469,120.58594,-0.006977711,-0.0090262685,27.538898,60.34379,0.097713925,0.17570361,161774.67,85879.03,-1.5304296,-0.82294923,-61.864723,-23.797832,0.00038038683,0.00022287523,0.023018867,0.045968592,6.873009e-05,0.0001721127,-1.1374664,-0.29842645,0.5778934,-0.22876425,0.11235018,-0.08137941,0.30413896,0.50056756,-0.49879462,0.9599471,-2.5346625,-1.2113459,0.049158096,-0.40213698,2.075913,2.9490657,0.553024,-0.4770739,-0.54599744,-1.9718559,-0.83472854,0.049652576,-0.42831564,1.9196918,-0.86975133,-0.6686802,-0.9533989,-0.35927176
6,,,,,0.0,0.3243146,0.0011014618,0.00057153957,,,,,0.0,-0.0016657345,3.4975502,-0.009204981,-0.005130209,-0.0044736294,-0.020523,-0.009302038,-0.0006655641,5.6567787e-05,-0.001675485,-0.0010456037,-0.008045685,-0.0050622085,-0.0034583597,0.00035386236,-0.016381329,-0.016880333,-0.029178152,-0.024551952,-0.0090764165,-0.00509429,-0.031826854,-0.0040199934,-0.013186371,-0.033902515,-0.05023091,0.011300648,-0.047795605,0.034453414,-0.08024797,-0.049250178,-0.035857756,-0.027065039,-0.030216873,-0.00064851047,-0.0013035536,0.04241433,0.0043541193,0.04304997,-0.028720688,-0.0069487095,-0.07834053,-0.07643938,-0.050151467,-0.062295783,-0.024993097,-0.015273571,-0.042583514,0.0038562298,-0.014193689,-0.0032735467,0.029737616,-0.010007406,0.010342324,0.017332662,-0.0078596175,-0.020896774,0.0020021796,-0.017979253,0.015868902,-0.014006752,0.007746124,-0.0010166764,-0.000116230614,-3.742061e-05,-2.8973358e-05,-1.8349372e-05,-8.613281,8.613281,1.4355469,20.097656,25.839844,206.71875,41.63086,-80.390625,0.0013050757,0.004892825,23.30997,26.700806,0.108480886,0.054083753,171403.97,14385.906,-1.606507,0.8428463,-60.436104,53.7465,0.00027990993,-0.00035008046,0.017423602,0.0209452,-0.0003610354,7.374592e-05,-1.1785896,0.050516702,0.46644956,0.77951396,-0.45769638,0.8552844,-1.0237857,1.1953596,-2.4508438,1.279689,-2.3133855,-0.96221894,0.3202952,-1.0511787,0.7129879,0.52469367,0.6796941,0.7376024,-0.39704123,-0.8582001,-0.8839644,0.5826359,0.14960098,1.182315,0.35072207,-0.68760216,0.49445733,-0.7928323
7,,,,,0.0,0.5008726,0.00165212,-7.717758e-05,,,,,0.0,-0.0036595685,3.1447325,-0.0052137626,0.00069670676,-0.0057413103,-0.009999973,-0.014382601,3.775703e-05,0.00069857214,-0.0022045858,-0.0023053668,-0.0070067407,-7.641762e-05,-0.018159013,0.00995328,-0.012904319,0.002477181,-0.008039316,-0.018686637,-0.0072114705,0.00030027033,-0.0017247915,0.0037449896,0.012328613,-0.051368397,-0.02910074,-0.037961084,-0.032939296,0.011698675,-0.08973761,-0.0653382,-0.031223636,-0.016498078,-0.039738476,-0.0101776365,-0.029489875,0.0017690897,-0.0024365305,0.014905786,-0.0031709194,-0.01944089,-0.033454157,-0.06835352,-0.024743438,-0.04830768,0.0058537005,-0.01633991,-0.025377536,0.0024742126,-0.019822288,-0.021995604,0.03861078,-0.016475867,0.027211845,0.008007729,0.014443452,-0.019989401,0.0141849695,-0.006145841,0.034490127,-0.006880784,0.009157926,-0.0052422583,0.00017255511,0.00022405763,-2.6144558e-05,-0.00017342497,-10.048828,2.8710938,-14.355469,11.484375,10.048828,89.00391,51.679688,-242.60742,0.0034621581,0.019670358,4.532861,-26.57963,0.04844532,-0.094306946,80363.23,-65587.17,-0.8578728,2.1439035,-31.824274,103.441795,1.864892e-05,-0.0007371182,0.0015404985,-0.019209638,-0.0004835994,-9.7627795e-05,-0.35811406,0.5432514,0.7775561,1.8476353,-0.7009398,1.5418212,-2.0609717,1.1187834,-3.6150315,-0.06158247,-1.064914,0.014162731,0.53468305,-0.47983804,-0.75719947,-1.3175621,0.23645273,0.2583366,0.8758591,0.07106523,-0.47971946,0.91394967,-0.38130873,-0.34067804,0.835869,-0.60038483,1.1183594,-1.7667034
8,,,,,0.012137649,0.4764705,0.0012314571,-0.00043937698,,,,,0.0,-0.005098432,1.8747523,0.0035455779,0.0044251843,-0.005671588,0.0018920541,-0.018164033,0.0008928705,0.00086987903,-0.0024817334,-0.0032753851,-0.001923839,0.005667242,-0.023676125,0.017152531,-0.0017982691,0.02537154,0.018615771,-0.00848023,0.00014258623,0.006128639,0.035351496,0.019421536,0.04990632,-0.044784654,0.0060194195,-0.06909974,-0.014192742,-0.010496092,-0.06026727,-0.05061532,-0.026689451,-0.017946685,-0.041489564,-0.028842032,-0.054147433,-0.052769303,-0.016740274,-0.027613783,0.007849181,-0.034678888,0.016623866,-0.039232135,0.007548201,-0.026685,0.021454822,-0.019708682,-0.009451842,-0.012750948,-0.029519629,-0.0434585,0.031945325,-0.02566551,0.026847374,-0.012092829,0.031270348,-0.019927775,0.018590678,0.004286313,0.04554205,0.0024652244,0.011381996,-0.007908881,0.00027270094,0.00024223518,-1.7616861e-05,-0.00025780016,-7.1777344,-1.4355469,-24.404297,-10.048828,-20.097656,-120.58594,7.1777344,-308.64258,0.008747013,0.026789207,-25.87331,-72.43793,-0.12416196,-0.21502113,-94040.01,-125127.81,1.1409341,2.6810405,52.71161,117.4031,-0.000535888,-0.00086341926,-0.023239626,-0.05411769,-0.00036029113,-0.00022506299,0.5975483,1.0310528,1.4829142,2.1118474,-0.5969209,0.9101899,-1.524768,0.5099403,-2.8067672,-0.70046365,0.8056976,2.0031667,1.8788201,0.6605481,-0.29588622,-1.5256405,1.3285745,0.33892673,1.5053501,1.3887988,-0.5944342,0.83368415,-0.6756504,-1.2969456,-0.012435103,-1.1532066,0.80807936,-2.1407955
