,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,0.26312795,0.3170993,-18.748053,-17.931368,30.038443,31.409203,-0.05882169,-0.0619594,-0.01365235,-0.007710192,0.0,12.729243,,,0.0,3.8534431,0.0,-6.4480777,0.0,11.651383,0.0,18.401499,468.97012,517.54156,1462.7775,1471.4847,-201.0,-3.3322496,1540.5006,1605.5543,-201.0,-15.215438,2618.2966,2559.7947,-201.0,-16.436674
1,0.25361475,0.31702366,-20.754812,-15.81237,32.350693,28.789024,-0.068508215,-0.056140196,-0.017372495,-0.002417809,0.0,13.218493,,,0.0,3.8534431,0.0,-6.602806,0.0,9.531414,0.0,19.677732,502.48898,831.5962,1435.8438,1319.3694,-201.0,-9.947297,1622.4408,1757.4515,-201.0,-11.806927,2854.3,2891.134,-201.0,-20.35341
2,0.2550486,0.31681946,-22.466034,-11.766048,34.71192,22.876532,-0.07319849,-0.034304503,-0.023520306,-0.004572473,0.0,13.584087,,,0.0,3.8534431,0.0,-6.1610923,0.0,10.287579,0.0,18.430359,529.8991,917.08374,1445.2285,1199.8092,-201.0,-11.815186,1693.5912,1765.0983,-201.0,-7.2180257,3167.2644,2947.1257,-201.0,-18.169731
3,0.24824579,0.31868175,-20.270517,-10.843579,33.87717,23.541845,-0.05377697,-0.039124623,-0.018085545,-0.004757838,0.0,14.036868,,,0.0,3.8534431,0.0,-4.748796,0.0,75.9654,0.0,19.524954,622.7045,765.5725,1385.1353,1307.3887,-201.0,-7.023354,1693.2754,1641.5094,-201.0,-3.2354052,3185.0085,2874.3477,-201.0,-14.477829
4,0.24390192,0.31826887,-18.609446,-10.2443695,32.19029,25.324099,-0.03846988,-0.04108992,-0.018008908,-0.014535894,0.0,13.578926,,,0.0,3.8534431,0.0,-4.4540997,0.0,77.461334,0.0,21.731028,590.82153,569.8703,1421.7676,1310.2882,-201.0,-5.0365443,1638.9009,1529.6967,-201.0,-1.5416374,2902.8972,2659.3464,-201.0,-14.505547
5,0.22661829,0.3171252,-17.331694,-10.193391,30.017105,25.736992,-0.036911063,-0.057302743,-0.016059289,-0.010832003,0.0,13.180123,,,0.0,3.8534431,0.0,-5.3753657,0.0,74.763794,0.0,22.879034,575.9997,568.54895,1461.2906,1435.6411,-201.0,-10.251733,1630.0294,1528.68,-201.0,-5.961586,2916.871,2538.8223,-201.0,-18.420204
6,0.21606202,0.3105305,-17.675814,-7.957279,30.175283,21.331152,-0.037008386,-0.039697304,-0.01831496,-0.011096311,0.0,12.878341,,,0.0,3.8534431,0.0,-7.7894187,0.0,10.2012,0.0,24.616385,412.60873,624.007,1411.4755,1381.1176,-135.57469,-16.15601,1547.0444,1557.854,-138.84398,-11.171474,2672.4634,2580.164,-143.17317,-24.317972
7,0.21662675,0.30518195,-16.695288,-5.6880836,27.16124,15.665481,-0.036254447,-0.031860992,-0.018287139,-0.0060657286,12.440814,15.259613,,,0.0,3.8534431,-5.4893036,-7.76988,-0.3171184,7.3082767,23.92265,19.84672,424.6075,490.23984,1357.2812,1685.8998,-71.24445,-19.535421,1540.6752,1533.549,-79.60096,-18.606085,2672.1487,2390.7708,-82.622665,-23.091896
8,0.22324665,0.30187234,-18.327772,-9.858964,29.963745,22.09031,-0.03780375,-0.046327095,-0.022598287,-0.009454091,12.53789,17.685482,,,0.0,3.8534431,-4.827541,-7.508597,2.4317503,5.7814403,29.392218,23.17924,447.35782,624.3865,1230.6725,1817.8539,-7.8021736,0.0,1550.4213,1583.9838,-19.93614,-18.046148,2577.4133,2767.3262,-27.226044,-27.469656
9,0.22650951,0.29274774,-21.404524,-13.003334,34.35802,25.056671,-0.04718579,-0.05795965,-0.027446369,-0.012378145,12.751904,20.093729,,,0.0,3.8534431,-3.738741,-4.939385,7.420008,4.30777,35.19341,22.087173,455.64062,667.22876,1178.1909,1994.7745,-11.37558,-22.240685,1584.6974,1594.0997,-23.969223,-18.320816,2736.4656,2788.3596,-30.675964,-27.288214
10,0.23324656,0.28838968,-25.195084,-13.577412,39.36945,27.875212,-0.068384685,-0.04935442,-0.032860506,-0.015963279,13.71117,20.430199,,,0.0,4.109553,-4.7191215,-3.6926193,11.040044,5.5758147,41.10203,22.004053,483.7153,790.8963,1316.89,1723.9669,-13.9192505,-21.942865,1655.1299,1625.9366,-26.88746,-17.696594,3031.795,2823.6746,-37.72035,-27.52656
11,0.22995973,0.2745568,-25.074091,-12.383193,38.57365,26.352915,-0.07081872,-0.041451722,-0.026360119,-0.012556802,16.137754,21.079676,0.0,0.5027763,0.0,4.365662,-4.326559,-1.3264767,8.140304,4.875368,37.026474,22.227915,629.0536,913.591,1451.4176,1929.8414,-20.924467,-25.77662,1721.8795,1636.6293,-31.976934,-22.319933,3055.6963,2918.8752,-41.258125,-31.649551
