,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,spectralFlux_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc1_sma3,mfcc2_sma3,mfcc2_sma3,mfcc3_sma3,mfcc3_sma3,mfcc4_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,0.26312795,0.3170993,-18.748053,-17.931368,30.038443,31.409203,-0.05882169,-0.0619594,-0.01365235,-0.007710192,0.09233889,0.090160035,29.172842,26.747004,8.803218,8.724936,10.158179,23.846045,13.632541,31.076736,0.0,12.729243,,,0.0,3.8534431,0.0,-6.4480777,0.0,11.651383,0.0,18.401499,468.97012,517.54156,1462.7775,1471.4847,-201.0,-3.3322496,1540.5006,1605.5543,992.7692,1074.547,-201.0,-15.215438,2618.2966,2559.7947,1121.514,1341.6926,-201.0,-16.436674
1,0.25361475,0.31702366,-20.754812,-15.81237,32.350693,28.789024,-0.068508215,-0.056140196,-0.017372495,-0.002417809,0.15318473,0.1550237,28.273447,25.825857,8.72566,5.760652,10.174152,20.361683,12.015159,27.398224,0.0,13.218493,,,0.0,3.8534431,0.0,-6.602806,0.0,9.531414,0.0,19.677732,502.48898,831.5962,1435.8438,1319.3694,-201.0,-9.947297,1622.4408,1757.4515,965.3964,1179.0742,-201.0,-11.806927,2854.3,2891.134,1018.0657,1033.7134,-201.0,-20.35341
2,0.2550486,0.31681946,-22.466034,-11.766048,34.71192,22.876532,-0.07319849,-0.034304503,-0.023520306,-0.004572473,0.20286548,0.21916388,29.611338,24.083342,9.020733,1.7359047,10.669913,16.126307,11.095258,21.426697,0.0,13.584087,,,0.0,3.8534431,0.0,-6.1610923,0.0,10.287579,0.0,18.430359,529.8991,917.08374,1445.2285,1199.8092,-201.0,-11.815186,1693.5912,1765.0983,952.70215,1172.1635,-201.0,-7.2180257,3167.2644,2947.1257,1240.5631,936.9355,-201.0,-18.169731
3,0.24824579,0.31868175,-20.270517,-10.843579,33.87717,23.541845,-0.05377697,-0.039124623,-0.018085545,-0.004757838,0.22344868,0.23018354,29.749826,23.674683,8.566742,-1.65194,7.618263,11.890979,12.954349,16.733635,0.0,14.036868,,,0.0,3.8534431,0.0,-4.748796,0.0,75.9654,0.0,19.524954,622.7045,765.5725,1385.1353,1307.3887,-201.0,-7.023354,1693.2754,1641.5094,949.1787,957.4511,-201.0,-3.2354052,3185.0085,2874.3477,1104.8417,925.74945,-201.0,-14.477829
4,0.24390192,0.31826887,-18.609446,-10.2443695,32.19029,25.324099,-0.03846988,-0.04108992,-0.018008908,-0.014535894,0.18729363,0.21415502,30.65127,23.387472,9.245074,-3.0297966,8.349901,9.3013115,15.086535,14.4998255,0.0,13.578926,,,0.0,3.8534431,0.0,-4.4540997,0.0,77.461334,0.0,21.731028,590.82153,569.8703,1421.7676,1310.2882,-201.0,-5.0365443,1638.9009,1529.6967,1000.67267,863.0322,-201.0,-1.5416374,2902.8972,2659.3464,1332.14,1392.1881,-201.0,-14.505547
5,0.22661829,0.3171252,-17.331694,-10.193391,30.017105,25.736992,-0.036911063,-0.057302743,-0.016059289,-0.010832003,0.169469,0.19373111,28.996027,23.52832,10.250886,-3.5221345,7.462942,8.322376,17.379875,16.51977,0.0,13.180123,,,0.0,3.8534431,0.0,-5.3753657,0.0,74.763794,0.0,22.879034,575.9997,568.54895,1461.2906,1435.6411,-201.0,-10.251733,1630.0294,1528.68,948.466,963.2588,-201.0,-5.961586,2916.871,2538.8223,923.49365,1550.6976,-201.0,-18.420204
6,0.21606202,0.3105305,-17.675814,-7.957279,30.175283,21.331152,-0.037008386,-0.039697304,-0.01831496,-0.011096311,0.11290974,0.1357435,26.852144,22.90734,10.700935,-2.785279,9.613816,10.117114,14.747489,16.261883,0.0,12.878341,,,0.0,3.8534431,0.0,-7.7894187,0.0,10.2012,0.0,24.616385,412.60873,624.007,1411.4755,1381.1176,-135.57469,-16.15601,1547.0444,1557.854,906.866,969.65106,-138.84398,-11.171474,2672.4634,2580.164,2373.3875,1382.4752,-143.17317,-24.317972
7,0.21662675,0.30518195,-16.695288,-5.6880836,27.16124,15.665481,-0.036254447,-0.031860992,-0.018287139,-0.0060657286,0.13620971,0.123675324,25.962057,22.422617,10.728278,-2.91802,7.548056,11.07618,14.644567,18.355444,12.440814,15.259613,,,0.0,3.8534431,-5.4893036,-7.76988,-0.3171184,7.3082767,23.92265,19.84672,424.6075,490.23984,1357.2812,1685.8998,-71.24445,-19.535421,1540.6752,1533.549,895.53076,1059.3936,-79.60096,-18.606085,2672.1487,2390.7708,2259.12,1511.4204,-82.622665,-23.091896
8,0.22324665,0.30187234,-18.327772,-9.858964,29.963745,22.09031,-0.03780375,-0.046327095,-0.022598287,-0.009454091,0.19807096,0.24128194,26.275307,24.192907,11.338626,0.5657158,6.0188622,12.200831,11.335261,19.558786,12.53789,17.685482,,,0.0,3.8534431,-4.827541,-7.508597,2.4317503,5.7814403,29.392218,23.17924,447.35782,624.3865,1230.6725,1817.8539,-7.8021736,0.0,1550.4213,1583.9838,904.4807,986.0088,-19.93614,-18.046148,2577.4133,2767.3262,2302.401,1201.8922,-27.226044,-27.469656
