file,start,end,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.060000,0.0,0.7218363,0.0,0.0,0.0,-100.0,0.26019958,0.98834115,0.008818724,0.026958933,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0018213978,0.0005488154,86.13281,129.19922,157.91016,330.17578,0.024103947,209.8549,2.479585,251411.5,19.274708,605.1457,-0.0028079273,0.20024343,0.0051314128,28.748192,6.019377,17.375845,21.47767,10.908771,-8.313499,0.19483232,28.956894,1.5324033,-14.217977,6.6224694,-0.20419438,-1.8444182,-4.848977
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.070000,0.0,0.71059924,0.0,0.0,0.0,-100.0,0.25867322,0.98834115,0.00717509,0.02733686,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0015990211,0.0005272032,86.13281,129.19922,258.39844,645.9961,0.04306486,293.4835,3.1287277,486342.53,15.355167,410.1912,-0.0018707425,0.26732656,0.0032781474,27.468798,2.677492,14.870147,17.197752,7.3772216,-7.2623634,-2.8826008,24.085577,3.7907352,-10.460654,8.500049,-1.4091138,-2.4872496,-3.8414643
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.080000,0.0,0.6886633,0.0,0.0,0.0,-100.0,0.2640369,0.98834115,0.0059888023,0.026077097,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0016832453,0.00057772757,71.77734,114.84375,330.17578,775.1953,0.062445525,334.1445,3.5071151,628873.75,12.010234,233.50154,-0.0012143581,0.29792672,0.0014600329,27.163641,0.06563795,13.026864,13.365494,1.7704736,-9.463397,-2.4516068,24.321238,2.4688618,-11.25832,11.285123,-0.59563714,2.3161128,0.110329784
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.090000,0.0,0.69305587,0.0,0.0,0.0,-100.0,0.26700595,0.98834115,0.005670853,0.02834467,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0016462683,0.0007114412,57.421875,114.84375,344.53125,918.75,0.051553506,353.00986,3.612834,673798.8,11.355571,210.1482,-0.0011359139,0.31095013,0.0007436338,27.39389,-1.104148,10.625686,12.579338,6.5664725,-10.14523,-6.1534085,23.497316,-0.5503051,-11.988713,12.433261,5.966421,3.0032198,-0.66667086
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.100000,0.0,0.6994166,0.0,0.0,0.0,-66.23992,0.26879063,0.98554325,0.0058418293,0.02834467,0.12989388,0.27348897,0.41139188,0.552433,0.67254716,0.754725,0.835635,0.9186382,1.010634,1.0581009,1.0778575,1.1621183,1.2366198,1.2817788,1.307838,1.3432665,1.3898435,1.4475656,1.4430423,1.4451747,1.3713245,1.2462057,1.0559152,0.8807125,0.72138876,0.59598225,0.0015678402,0.0007487208,57.421875,114.84375,258.39844,717.77344,0.04627195,304.2573,3.3129852,540162.0,12.222861,244.30864,-0.0013634125,0.27063748,0.001181753,28.237444,-0.19110788,10.813988,14.088016,7.0791945,-9.300511,-2.2604692,29.302912,-2.9583025,-14.906348,10.257009,8.109788,4.8470893,-1.1201425
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.110000,56.327953,0.7226841,0.0,0.0,0.0,-32.394085,0.2626451,0.9787229,0.005450148,0.02973041,0.1339612,0.28735107,0.40465865,0.5350573,0.6630749,0.72485536,0.83052874,0.9294614,1.0339786,1.0585504,1.0289332,1.1599281,1.2969407,1.3147358,1.286235,1.2712508,1.3237224,1.4134111,1.4143573,1.4610547,1.3813866,1.2820745,1.0360947,0.8561714,0.71152323,0.6074973,0.0010757219,0.0007986719,86.13281,129.19922,200.97656,746.4844,0.03949139,314.86264,3.1923637,522773.62,12.085583,248.33348,-0.0013106284,0.27948728,0.0016937222,27.620598,0.5729521,10.126358,17.015331,12.444942,-8.401527,-2.2673905,33.99883,-2.2614644,-15.294393,7.1984344,8.382371,-0.57519346,-3.8027809
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.120000,57.10794,0.73978513,0.0,0.0,0.0,2.7192776,0.25296244,0.9678771,0.0046995752,0.02935248,0.13346773,0.29277304,0.39265084,0.5038573,0.6505211,0.68617254,0.81046313,0.92868614,1.0444099,1.0054532,1.00196,1.1703414,1.3525211,1.3630376,1.2536902,1.162589,1.2462978,1.3876978,1.3992795,1.4707662,1.4021038,1.34409,1.0143075,0.8286893,0.69587755,0.6231024,0.0009003855,0.0007290107,114.84375,200.97656,401.95312,1019.2383,0.049346734,437.37033,3.5156825,760197.7,10.72955,200.09662,-0.0009907587,0.3771439,0.0017805638,25.941664,-0.17067266,11.742576,14.114474,9.160588,-14.355296,-4.4263086,36.690422,-0.54326063,-16.07953,6.8373966,10.0762005,1.8912684,1.0690187
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.130000,59.098953,0.74930364,0.0,0.0,0.08,4.1029296,0.24911064,0.9528411,0.0041613053,0.029856386,0.12795477,0.28095534,0.38058063,0.47404194,0.63134736,0.6605696,0.77935857,0.8934849,1.0119417,0.8936936,0.98182106,1.1530322,1.3847297,1.409319,1.2550722,1.0769218,1.1943436,1.358085,1.4050255,1.4729697,1.3958845,1.3976507,1.0118984,0.81926465,0.6922341,0.63169116,0.0009555449,0.0007870321,114.84375,200.97656,531.15234,1435.5469,0.047033045,526.46344,3.8188064,975443.7,9.236355,150.56812,-0.00075687614,0.44528207,0.0013283411,24.872503,-0.74828506,10.458993,15.492696,8.433007,-17.928053,-6.447026,34.468067,-1.6790239,-18.465229,9.748017,12.0562105,0.90151435,0.8825267
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.140000,59.30183,0.75216144,0.0,0.0,0.14843623,4.6111183,0.2443436,0.93662184,0.004315153,0.030738221,0.11968732,0.24877183,0.36469766,0.4622486,0.62484336,0.67232794,0.7456272,0.84093904,0.99147534,0.7809449,0.98516417,1.1339673,1.3659619,1.4090225,1.2471924,1.0283846,1.1663171,1.3664947,1.4112104,1.4297024,1.383049,1.4039369,1.019476,0.8235163,0.6969328,0.63027704,0.0010680961,0.0006430769,86.13281,186.6211,516.7969,1335.0586,0.055445317,482.75302,3.7582588,915877.5,11.127323,215.42677,-0.00090719014,0.4092706,0.0006697573,25.588783,0.13830741,9.2146225,13.547746,4.223452,-15.489804,-5.4825807,33.945183,3.2664716,-15.694809,9.591257,12.778949,3.7867355,1.3928334
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.150000,59.877613,0.7591041,0.12838806,0.0,0.21687245,4.724051,0.23718108,0.91920185,0.0051851184,0.028092718,0.1174281,0.22218001,0.3657074,0.47791162,0.6261406,0.72452044,0.7482159,0.7981244,0.9586194,0.7338414,0.95306474,1.0831298,1.2730999,1.3566259,1.2356578,1.0324758,1.1699148,1.3745924,1.3889607,1.3696971,1.3531356,1.3470432,1.0084763,0.8385865,0.7179263,0.6241736,0.0014358773,0.00046273504,71.77734,143.55469,330.17578,918.75,0.053099886,359.52292,3.4695675,726323.3,12.952092,260.8375,-0.0010444055,0.31589827,0.00072654616,26.672592,3.5553238,10.82755,13.523055,1.4691534,-12.100888,-4.4893003,32.487614,1.8189806,-12.102685,11.344552,6.450011,-0.27066103,-3.4751158
