file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.26019958,-16.060234,29.502825,-0.06601717,-0.011098608,0.0,0.0,0.0,0.0,0.0,0.0,346.6815,1412.0905,-201.0,1462.579,-201.0,2243.033,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.25867322,-14.415047,27.198347,-0.05749895,-0.009435344,0.0,0.0,0.0,0.0,0.0,0.0,511.83456,1467.296,-201.0,1531.2211,-201.0,2514.7214,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.2640369,-13.066266,24.142176,-0.046315085,-0.013368006,0.0,0.0,0.0,0.0,0.0,0.0,549.4681,1377.484,-201.0,1548.5402,-201.0,2588.4412,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.26700595,-12.532127,24.871033,-0.04554388,-0.010317407,0.0,0.0,0.0,0.0,0.0,0.0,693.83466,1417.692,-201.0,1615.3242,-201.0,2895.028,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.26879063,-12.629528,26.390326,-0.047411297,-0.016326679,0.0,0.0,0.0,0.0,0.0,0.0,566.6404,1343.813,-201.0,1574.5446,-201.0,2698.5977,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.2626451,-11.579208,25.868057,-0.038286857,-0.013145957,0.0,0.0,0.0,0.0,0.0,0.0,533.0772,1477.143,-137.0682,1560.0887,-139.33495,2539.2532,-139.33495
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.25296244,-9.70527,21.905243,-0.019939063,-0.015384202,13.203127,0.0,0.0,-5.06878,11.68817,11.985638,387.8878,1545.0101,-75.30085,1521.2832,-76.995476,2045.9667,-76.995476
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.24911064,-7.7015424,17.188437,-0.003716693,-0.012222485,13.244174,0.0,0.0,-4.875113,10.505435,13.911018,384.87866,1521.8813,-12.381482,1495.0421,-17.437666,1961.1422,-16.06794
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.2443436,-9.346554,20.815638,-0.011490923,-0.016982371,13.303149,0.0,3.1524427,-4.9608326,8.660951,15.985938,420.99142,1397.8531,-12.275719,1523.1464,-17.205881,1996.473,-15.836156
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.23718108,-12.560164,25.379736,-0.0222195,-0.020204289,13.470605,0.0,3.1524427,-4.2592063,7.1741624,24.507858,439.54233,1281.1432,-10.414487,1548.5747,-17.404959,2473.736,-21.224733
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.100000,0 days 00:00:00.120000,0.23878141,-16.112188,30.667648,-0.044930685,-0.026254693,13.702667,0.0,3.1524427,-4.207874,6.4997325,30.723328,451.31046,1299.2957,-9.149707,1599.58,-14.86822,2872.7488,-24.848166
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.110000,0 days 00:00:00.130000,0.23403697,-16.628408,30.313545,-0.047548514,-0.020650333,14.017718,0.0,2.3728886,-5.392137,6.2311044,30.269773,398.04752,1447.335,-7.172957,1553.1602,-17.19291,2845.7708,-24.650208
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.120000,0 days 00:00:00.140000,0.22809374,-16.421644,29.135138,-0.057725538,-0.0140052475,14.109947,0.023815174,2.5308096,-7.334049,5.6442924,26.82577,697.1086,1331.1322,-10.108638,1711.1041,-18.807741,2900.179,-23.589853
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.130000,0 days 00:00:00.150000,0.22052592,-16.070738,27.692907,-0.05135866,-0.0118688755,16.01077,0.03154278,2.688731,-10.4199095,5.189855,20.217453,686.8332,1322.7269,-12.026973,1697.1493,-19.252348,2710.0566,-21.290545
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.140000,0 days 00:00:00.160000,0.22526424,-15.625432,27.092173,-0.0470852,-0.01383764,17.669409,0.046998005,3.6262062,-8.97045,4.8497643,18.10372,733.3344,1236.2064,-16.947487,1702.9633,-18.38265,2862.5989,-24.531263
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.150000,0 days 00:00:00.170000,0.26214543,-15.354623,28.400467,-0.04312658,-0.01587792,19.51744,0.046998005,3.6262062,-6.271523,4.3343167,12.675595,424.8293,1416.7891,-17.230318,1479.2628,-19.594732,2720.3318,-25.183884
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.160000,0 days 00:00:00.180000,0.34330377,-13.334369,26.43838,-0.0542032,-0.007584946,18.971724,0.046998005,3.6262062,-2.358901,6.208451,14.919427,464.8887,1332.0542,-19.093958,1429.2822,-22.919714,2633.1218,-29.270111
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.170000,0 days 00:00:00.190000,0.39099717,-13.085416,26.45436,-0.069398105,-0.0039293775,18.571623,0.046998005,3.6262062,-1.6717863,7.2433467,20.583525,603.41876,1333.9603,-20.62761,1527.7334,-23.750206,2753.2444,-33.33315
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.180000,0 days 00:00:00.200000,0.3699106,-15.951869,28.694328,-0.08315282,-0.005570732,18.771189,0.1222052,4.1422496,-2.1713016,6.5265718,24.946028,715.9202,1367.792,-22.606325,1606.876,-23.587484,2765.055,-35.378475
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.190000,0 days 00:00:00.210000,0.28780997,-17.794922,31.043314,-0.076677054,-0.0152362855,18.72922,0.1598088,4.6582932,-2.1739495,4.8137054,25.07989,674.5179,1347.5363,-20.594835,1623.9902,-22.201332,2723.0886,-34.015316
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.200000,0 days 00:00:00.220000,0.24738331,-17.591238,29.482857,-0.065146334,-0.015696837,17.046339,0.0,5.174337,-4.536906,1.6621627,24.90415,746.29736,1434.1099,-21.074118,1595.3622,-20.942137,2774.8088,-32.27824
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.210000,0 days 00:00:00.230000,0.23044081,-15.64032,26.467375,-0.057563316,-0.015861217,14.750293,0.0,5.174337,-5.581098,2.6643643,27.869349,621.6508,1377.1852,-13.718791,1537.5785,-17.677446,2598.45,-29.65008
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.220000,0 days 00:00:00.240000,0.23172705,-16.663641,26.782938,-0.053831924,-0.01471315,13.248146,0.0,5.174337,-7.683422,3.5182369,29.881363,612.6326,1424.871,-9.937604,1531.8519,-18.07618,2585.9841,-26.988718
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.230000,0 days 00:00:00.250000,0.21411295,-18.292547,29.345636,-0.05689453,-0.016950727,13.354108,0.0,5.174337,-6.513452,7.380615,32.811382,397.93823,1306.9443,-4.8787494,1497.1182,-17.544657,2604.1445,-27.952738
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.240000,0 days 00:00:00.260000,0.20755948,-18.654064,31.408072,-0.05036219,-0.015964316,13.455466,0.0,5.174337,-6.646223,9.106095,33.328827,384.8643,1313.0951,-70.66543,1490.8539,-80.28555,2619.414,-85.894196
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.250000,0 days 00:00:00.270000,0.1963436,-18.505432,32.532894,-0.062368155,-0.015794449,0.0,0.0,0.0,0.0,0.0,0.0,389.84647,1437.8154,-136.86029,1518.0045,-139.59793,2770.0833,-145.4359
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.260000,0 days 00:00:00.280000,0.1943773,-18.471865,32.92522,-0.06352282,-0.019413188,0.0,0.0,0.0,0.0,0.0,0.0,384.4774,1458.44,-139.44165,1518.4752,-143.31831,2688.595,-146.0396
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.270000,0 days 00:00:00.290000,0.18588011,-18.457453,31.504572,-0.06495726,-0.020629486,13.503948,0.0,0.0,-1.6285381,105.39581,36.95819,467.3395,1687.4994,-80.31576,1540.4502,-84.951836,2872.495,-91.40708
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.280000,0 days 00:00:00.300000,0.19078636,-19.586288,31.687487,-0.06814467,-0.01820412,13.565515,0.0,0.0,-1.0315136,73.11568,35.691742,599.62256,1749.2617,-21.39131,1583.229,-26.571733,2944.1804,-35.76782
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.290000,0 days 00:00:00.310000,0.18252505,-20.240253,31.873663,-0.0808695,-0.011974342,13.690982,0.0,2.1567185,-0.07196481,9.543785,33.249416,539.56866,1841.8463,-19.607054,1517.5446,-26.816734,2872.615,-33.901615
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.300000,0 days 00:00:00.320000,0.19129205,-20.415327,34.237244,-0.087224245,-0.0105573805,13.636669,0.0,1.9958053,-0.6069009,11.165936,30.348577,460.68994,1579.3378,-16.201313,1476.4078,-26.747122,2835.2761,-31.056417
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.310000,0 days 00:00:00.330000,0.194506,-19.687342,32.960854,-0.07954716,-0.01288109,13.613598,0.025996855,2.0786762,-2.1013677,12.313369,28.7624,321.72226,1403.1073,-12.045967,1421.0853,-26.638395,2707.724,-29.50022
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.320000,0 days 00:00:00.340000,0.2486773,-18.184021,30.257383,-0.057052925,-0.016093023,13.891528,0.025996855,2.1615474,-3.6361816,11.174966,27.980444,373.77292,1252.2843,-12.853233,1463.7999,-25.976374,2654.5513,-28.966164
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.330000,0 days 00:00:00.350000,0.25913557,-18.752554,29.345976,-0.04972061,-0.016160851,14.039417,0.0,2.4053314,-4.423776,9.433408,27.943377,380.12952,1239.2644,-75.38486,1478.585,-84.41247,2482.387,-86.44387
