file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.26019958,-16.060234,29.502825,-0.06601717,-0.011098608,0.050527632,28.748192,6.019377,17.375845,21.47767,0.0,0.0,0.0,0.0,0.0,0.0,346.6815,1412.0905,-201.0,1462.579,892.4677,-201.0,2243.033,1610.352,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.25867322,-14.415047,27.198347,-0.05749895,-0.009435344,0.09098277,27.468798,2.677492,14.870147,17.197752,0.0,0.0,0.0,0.0,0.0,0.0,511.83456,1467.296,-201.0,1531.2211,933.61597,-201.0,2514.7214,1328.6117,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.2640369,-13.066266,24.142176,-0.046315085,-0.013368006,0.131523,27.163641,0.06563795,13.026864,13.365494,0.0,0.0,0.0,0.0,0.0,0.0,549.4681,1377.484,-201.0,1548.5402,926.61896,-201.0,2588.4412,1253.8022,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.26700595,-12.532127,24.871033,-0.04554388,-0.010317407,0.10947772,27.39389,-1.104148,10.625686,12.579338,0.0,0.0,0.0,0.0,0.0,0.0,693.83466,1417.692,-201.0,1615.3242,915.4302,-201.0,2895.028,1023.014,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.26879063,-12.629528,26.390326,-0.047411297,-0.016326679,0.10630969,28.237444,-0.19110788,10.813988,14.088016,0.0,0.0,0.0,0.0,0.0,0.0,566.6404,1343.813,-201.0,1574.5446,890.3765,-201.0,2698.5977,1530.503,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.2626451,-11.579208,25.868057,-0.038286857,-0.013145957,0.10352716,27.620598,0.5729521,10.126358,17.015331,0.0,0.0,0.0,0.0,0.0,0.0,533.0772,1477.143,-137.0682,1560.0887,969.8284,-139.33495,2539.2532,1590.5114,-139.33495
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.25296244,-9.70527,21.905243,-0.019939063,-0.015384202,0.12571293,25.941664,-0.17067266,11.742576,14.114474,13.203127,0.0,0.0,-5.06878,11.68817,11.985638,387.8878,1545.0101,-75.30085,1521.2832,1000.9707,-76.995476,2045.9667,2191.9756,-76.995476
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.24911064,-7.7015424,17.188437,-0.003716693,-0.012222485,0.11722987,24.872503,-0.74828506,10.458993,15.492696,13.244174,0.0,0.0,-4.875113,10.505435,13.911018,384.87866,1521.8813,-12.381482,1495.0421,1031.1163,-17.437666,1961.1422,1928.206,-16.06794
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.2443436,-9.346554,20.815638,-0.011490923,-0.016982371,0.123425126,25.588783,0.13830741,9.2146225,13.547746,13.303149,0.0,3.1524427,-4.9608326,8.660951,15.985938,420.99142,1397.8531,-12.275719,1523.1464,1001.5083,-17.205881,1996.473,2002.4642,-15.836156
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.23718108,-12.560164,25.379736,-0.0222195,-0.020204289,0.13668324,26.672592,3.5553238,10.82755,13.523055,13.470605,0.0,3.1524427,-4.2592063,7.1741624,24.507858,439.54233,1281.1432,-10.414487,1548.5747,880.87573,-17.404959,2473.736,1366.2251,-21.224733
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.100000,0 days 00:00:00.120000,0.23878141,-16.112188,30.667648,-0.044930685,-0.026254693,0.16536488,28.691828,6.067962,11.848165,12.7324915,13.702667,0.0,3.1524427,-4.207874,6.4997325,30.723328,451.31046,1299.2957,-9.149707,1599.58,822.3343,-14.86822,2872.7488,1094.8516,-24.848166
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.110000,0 days 00:00:00.130000,0.23403697,-16.628408,30.313545,-0.047548514,-0.020650333,0.18938844,29.272715,7.300509,13.580551,16.440718,14.017718,0.0,2.3728886,-5.392137,6.2311044,30.269773,398.04752,1447.335,-7.172957,1553.1602,906.5618,-17.19291,2845.7708,940.6319,-24.650208
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.120000,0 days 00:00:00.140000,0.22809374,-16.421644,29.135138,-0.057725538,-0.0140052475,0.15946403,29.152657,6.922741,15.7607,23.447802,14.109947,0.023815174,2.5308096,-7.334049,5.6442924,26.82577,697.1086,1331.1322,-10.108638,1711.1041,1120.368,-18.807741,2900.179,889.1802,-23.589853
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.130000,0 days 00:00:00.150000,0.22052592,-16.070738,27.692907,-0.05135866,-0.0118688755,0.15877844,29.059301,6.4562984,16.129148,23.052652,16.01077,0.03154278,2.688731,-10.4199095,5.189855,20.217453,686.8332,1322.7269,-12.026973,1697.1493,1133.3488,-19.252348,2710.0566,1163.842,-21.290545
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.140000,0 days 00:00:00.160000,0.22526424,-15.625432,27.092173,-0.0470852,-0.01383764,0.13893503,28.083412,5.5275445,14.235278,18.77329,17.669409,0.046998005,3.6262062,-8.97045,4.8497643,18.10372,733.3344,1236.2064,-16.947487,1702.9633,1085.8151,-18.38265,2862.5989,1229.875,-24.531263
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:00.150000,0 days 00:00:00.170000,0.26214543,-15.354623,28.400467,-0.04312658,-0.01587792,0.1594007,27.152117,5.4920936,11.098793,9.895459,19.51744,0.046998005,3.6262062,-6.271523,4.3343167,12.675595,424.8293,1416.7891,-17.230318,1479.2628,1009.3901,-19.594732,2720.3318,1264.3735,-25.183884
