file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.26312795,-18.748053,30.038443,-0.05882169,-0.01365235,0.09233889,29.172842,8.803218,10.158179,13.632541,0.0,0.0,0.0,0.0,0.0,0.0,468.97012,1462.7775,-201.0,1540.5006,992.7692,-201.0,2618.2966,1121.514,-201.0
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.25361475,-20.754812,32.350693,-0.068508215,-0.017372495,0.15318473,28.273447,8.72566,10.174152,12.015159,0.0,0.0,0.0,0.0,0.0,0.0,502.48898,1435.8438,-201.0,1622.4408,965.3964,-201.0,2854.3,1018.0657,-201.0
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.2550486,-22.466034,34.71192,-0.07319849,-0.023520306,0.20286548,29.611338,9.020733,10.669913,11.095258,0.0,0.0,0.0,0.0,0.0,0.0,529.8991,1445.2285,-201.0,1693.5912,952.70215,-201.0,3167.2644,1240.5631,-201.0
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.24824579,-20.270517,33.87717,-0.05377697,-0.018085545,0.22344868,29.749826,8.566742,7.618263,12.954349,0.0,0.0,0.0,0.0,0.0,0.0,622.7045,1385.1353,-201.0,1693.2754,949.1787,-201.0,3185.0085,1104.8417,-201.0
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.24390192,-18.609446,32.19029,-0.03846988,-0.018008908,0.18729363,30.65127,9.245074,8.349901,15.086535,0.0,0.0,0.0,0.0,0.0,0.0,590.82153,1421.7676,-201.0,1638.9009,1000.67267,-201.0,2902.8972,1332.14,-201.0
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.22661829,-17.331694,30.017105,-0.036911063,-0.016059289,0.169469,28.996027,10.250886,7.462942,17.379875,0.0,0.0,0.0,0.0,0.0,0.0,575.9997,1461.2906,-201.0,1630.0294,948.466,-201.0,2916.871,923.49365,-201.0
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.21606202,-17.675814,30.175283,-0.037008386,-0.01831496,0.11290974,26.852144,10.700935,9.613816,14.747489,0.0,0.0,0.0,0.0,0.0,0.0,412.60873,1411.4755,-135.57469,1547.0444,906.866,-138.84398,2672.4634,2373.3875,-143.17317
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.21662675,-16.695288,27.16124,-0.036254447,-0.018287139,0.13620971,25.962057,10.728278,7.548056,14.644567,12.440814,0.0,0.0,-5.4893036,-0.3171184,23.92265,424.6075,1357.2812,-71.24445,1540.6752,895.53076,-79.60096,2672.1487,2259.12,-82.622665
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.22324665,-18.327772,29.963745,-0.03780375,-0.022598287,0.19807096,26.275307,11.338626,6.0188622,11.335261,12.53789,0.0,0.0,-4.827541,2.4317503,29.392218,447.35782,1230.6725,-7.8021736,1550.4213,904.4807,-19.93614,2577.4133,2302.401,-27.226044
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.22650951,-21.404524,34.35802,-0.04718579,-0.027446369,0.17997156,27.493876,13.819821,5.75572,8.78113,12.751904,0.0,0.0,-3.738741,7.420008,35.19341,455.64062,1178.1909,-11.37558,1584.6974,913.4199,-23.969223,2736.4656,970.6367,-30.675964
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.100000,0 days 00:00:00.120000,0.23324656,-25.195084,39.36945,-0.068384685,-0.032860506,0.23593788,29.073977,16.569735,7.5253797,10.055367,13.71117,0.0,0.0,-4.7191215,11.040044,41.10203,483.7153,1316.89,-13.9192505,1655.1299,849.2507,-26.88746,3031.795,816.7277,-37.72035
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.110000,0 days 00:00:00.130000,0.22995973,-25.074091,38.57365,-0.07081872,-0.026360119,0.24831831,29.502527,17.1855,9.764579,13.764813,16.137754,0.0,0.0,-4.326559,8.140304,37.026474,629.0536,1451.4176,-20.924467,1721.8795,928.74396,-31.976934,3055.6963,835.438,-41.258125
