,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,0.26312795,0.26019958,-18.748053,-16.060234,30.038443,29.502825,-0.05882169,-0.06601717,-0.01365235,-0.011098608,,,,,,,,,,,,,468.97012,346.6815,1462.7775,1412.0905,,,1540.5006,1462.579,,,2618.2966,2243.033,,
1,0.25361475,0.25867322,-20.754812,-14.415047,32.350693,27.198347,-0.068508215,-0.05749895,-0.017372495,-0.009435344,,,,,,,,,,,,,502.48898,511.83456,1435.8438,1467.296,,,1622.4408,1531.2211,,,2854.3,2514.7214,,
2,0.2550486,0.2640369,-22.466034,-13.066266,34.71192,24.142176,-0.07319849,-0.046315085,-0.023520306,-0.013368006,,,,,,,,,,,,,529.8991,549.4681,1445.2285,1377.484,,,1693.5912,1548.5402,,,3167.2644,2588.4412,,
3,0.24824579,0.26700595,-20.270517,-12.532127,33.87717,24.871033,-0.05377697,-0.04554388,-0.018085545,-0.010317407,,,,,,,,,,,,,622.7045,693.83466,1385.1353,1417.692,,,1693.2754,1615.3242,,,3185.0085,2895.028,,
4,0.24390192,0.26879063,-18.609446,-12.629528,32.19029,26.390326,-0.03846988,-0.047411297,-0.018008908,-0.016326679,,,,,,,,,,,,,590.82153,566.6404,1421.7676,1343.813,,,1638.9009,1574.5446,,,2902.8972,2698.5977,,
5,0.22661829,0.2626451,-17.331694,-11.579208,30.017105,25.868057,-0.036911063,-0.038286857,-0.016059289,-0.013145957,,,,,,,,,,,,,575.9997,533.0772,1461.2906,1477.143,-201.0,-137.0682,1630.0294,1560.0887,-201.0,-139.33495,2916.871,2539.2532,-201.0,-139.33495
6,0.21606202,0.25296244,-17.675814,-9.70527,30.175283,21.905243,-0.037008386,-0.019939063,-0.01831496,-0.015384202,0.0,13.203127,,,,,0.0,-5.06878,0.0,11.68817,0.0,11.985638,412.60873,387.8878,1411.4755,1545.0101,-135.57469,-75.30085,1547.0444,1521.2832,-138.84398,-76.995476,2672.4634,2045.9667,-143.17317,-76.995476
7,0.21662675,0.24911064,-16.695288,-7.7015424,27.16124,17.188437,-0.036254447,-0.003716693,-0.018287139,-0.012222485,12.440814,13.244174,,,,,-5.4893036,-4.875113,-0.3171184,10.505435,23.92265,13.911018,424.6075,384.87866,1357.2812,1521.8813,-71.24445,-12.381482,1540.6752,1495.0421,-79.60096,-17.437666,2672.1487,1961.1422,-82.622665,-16.06794
8,0.22324665,0.2443436,-18.327772,-9.346554,29.963745,20.815638,-0.03780375,-0.011490923,-0.022598287,-0.016982371,12.53789,13.303149,,,0.0,3.1524427,-4.827541,-4.9608326,2.4317503,8.660951,29.392218,15.985938,447.35782,420.99142,1230.6725,1397.8531,-7.8021736,-12.275719,1550.4213,1523.1464,-19.93614,-17.205881,2577.4133,1996.473,-27.226044,-15.836156
