,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,spectralFlux_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc1_sma3,mfcc2_sma3,mfcc2_sma3,mfcc3_sma3,mfcc3_sma3,mfcc4_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,0.26312795,0.26019958,-18.748053,-16.060234,30.038443,29.502825,-0.05882169,-0.06601717,-0.01365235,-0.011098608,0.09233889,0.050527632,29.172842,28.748192,8.803218,6.019377,10.158179,17.375845,13.632541,21.47767,,,,,,,,,,,,,468.97012,346.6815,1462.7775,1412.0905,,,1540.5006,1462.579,992.7692,892.4677,,,2618.2966,2243.033,1121.514,1610.352,,
1,0.25361475,0.25867322,-20.754812,-14.415047,32.350693,27.198347,-0.068508215,-0.05749895,-0.017372495,-0.009435344,0.15318473,0.09098277,28.273447,27.468798,8.72566,2.677492,10.174152,14.870147,12.015159,17.197752,,,,,,,,,,,,,502.48898,511.83456,1435.8438,1467.296,,,1622.4408,1531.2211,965.3964,933.61597,,,2854.3,2514.7214,1018.0657,1328.6117,,
2,0.2550486,0.2640369,-22.466034,-13.066266,34.71192,24.142176,-0.07319849,-0.046315085,-0.023520306,-0.013368006,0.20286548,0.131523,29.611338,27.163641,9.020733,0.06563795,10.669913,13.026864,11.095258,13.365494,,,,,,,,,,,,,529.8991,549.4681,1445.2285,1377.484,,,1693.5912,1548.5402,952.70215,926.61896,,,3167.2644,2588.4412,1240.5631,1253.8022,,
3,0.24824579,0.26700595,-20.270517,-12.532127,33.87717,24.871033,-0.05377697,-0.04554388,-0.018085545,-0.010317407,0.22344868,0.10947772,29.749826,27.39389,8.566742,-1.104148,7.618263,10.625686,12.954349,12.579338,,,,,,,,,,,,,622.7045,693.83466,1385.1353,1417.692,,,1693.2754,1615.3242,949.1787,915.4302,,,3185.0085,2895.028,1104.8417,1023.014,,
4,0.24390192,0.26879063,-18.609446,-12.629528,32.19029,26.390326,-0.03846988,-0.047411297,-0.018008908,-0.016326679,0.18729363,0.10630969,30.65127,28.237444,9.245074,-0.19110788,8.349901,10.813988,15.086535,14.088016,,,,,,,,,,,,,590.82153,566.6404,1421.7676,1343.813,,,1638.9009,1574.5446,1000.67267,890.3765,,,2902.8972,2698.5977,1332.14,1530.503,,
5,0.22661829,0.2626451,-17.331694,-11.579208,30.017105,25.868057,-0.036911063,-0.038286857,-0.016059289,-0.013145957,0.169469,0.10352716,28.996027,27.620598,10.250886,0.5729521,7.462942,10.126358,17.379875,17.015331,,,,,,,,,,,,,575.9997,533.0772,1461.2906,1477.143,-201.0,-137.0682,1630.0294,1560.0887,948.466,969.8284,-201.0,-139.33495,2916.871,2539.2532,923.49365,1590.5114,-201.0,-139.33495
6,0.21606202,0.25296244,-17.675814,-9.70527,30.175283,21.905243,-0.037008386,-0.019939063,-0.01831496,-0.015384202,0.11290974,0.12571293,26.852144,25.941664,10.700935,-0.17067266,9.613816,11.742576,14.747489,14.114474,0.0,13.203127,,,,,0.0,-5.06878,0.0,11.68817,0.0,11.985638,412.60873,387.8878,1411.4755,1545.0101,-135.57469,-75.30085,1547.0444,1521.2832,906.866,1000.9707,-138.84398,-76.995476,2672.4634,2045.9667,2373.3875,2191.9756,-143.17317,-76.995476
7,0.21662675,0.24911064,-16.695288,-7.7015424,27.16124,17.188437,-0.036254447,-0.003716693,-0.018287139,-0.012222485,0.13620971,0.11722987,25.962057,24.872503,10.728278,-0.74828506,7.548056,10.458993,14.644567,15.492696,12.440814,13.244174,,,,,-5.4893036,-4.875113,-0.3171184,10.505435,23.92265,13.911018,424.6075,384.87866,1357.2812,1521.8813,-71.24445,-12.381482,1540.6752,1495.0421,895.53076,1031.1163,-79.60096,-17.437666,2672.1487,1961.1422,2259.12,1928.206,-82.622665,-16.06794
8,0.22324665,0.2443436,-18.327772,-9.346554,29.963745,20.815638,-0.03780375,-0.011490923,-0.022598287,-0.016982371,0.19807096,0.123425126,26.275307,25.588783,11.338626,0.13830741,6.0188622,9.2146225,11.335261,13.547746,12.53789,13.303149,,,0.0,3.1524427,-4.827541,-4.9608326,2.4317503,8.660951,29.392218,15.985938,447.35782,420.99142,1230.6725,1397.8531,-7.8021736,-12.275719,1550.4213,1523.1464,904.4807,1001.5083,-19.93614,-17.205881,2577.4133,1996.473,2302.401,2002.4642,-27.226044,-15.836156
