start,end,F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,logHNR_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband250-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralCentroid_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_psySharpness_sma_de,pcm_fftMag_spectralHarmonicity_sma_de,mfcc_sma_de[1],mfcc_sma_de[2],mfcc_sma_de[3],mfcc_sma_de[4],mfcc_sma_de[5],mfcc_sma_de[6],mfcc_sma_de[7],mfcc_sma_de[8],mfcc_sma_de[9],mfcc_sma_de[10],mfcc_sma_de[11],mfcc_sma_de[12],mfcc_sma_de[13],mfcc_sma_de[14]
0 days 00:00:00,0 days 00:00:00.060000,0.0,-0.00041548695,0.0,0.0,0.0,0.0,-0.00256719,0.0,-0.000685706,0.00010078102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4042814e-05,-1.4806076e-05,-7.1777344,-18.66211,-15.791016,-12.919922,0.012899598,-18.204485,-0.14438793,-36001.586,0.6283661,28.145748,-0.00018237729,-0.018288875,-0.00067115313,-0.0022403717,0.03574724,0.10394411,-0.6691948,-1.0557235,0.68698627,1.5555812,1.4578174,1.3859808,-0.013096714,2.0442438,2.2556586,0.5865966,1.0236716
0 days 00:00:00.010000,0 days 00:00:00.070000,0.0,-0.0009412095,0.0,0.0,0.0,0.0,-0.0037843673,0.0,-0.0008098658,0.00066767464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017714473,-7.3672186e-06,-2.8710938,-18.66211,-11.484375,1.4355469,0.012932184,-13.345662,-0.114265464,-23357.5,0.2715351,6.308914,-6.6245324e-05,-0.013701359,-0.00073191867,0.15924644,-0.02554369,-0.4568099,-0.38936672,-0.4892505,0.8825612,0.41889006,1.8621495,0.7499575,-0.5628751,2.2727058,3.8700352,1.3068073,0.40698424
0 days 00:00:00.020000,0 days 00:00:00.080000,0.0,0.00042940993,0.0,0.0,0.0,0.0,-0.0043821023,-0.0026462674,-0.0007904124,0.0009574199,-0.0007722348,0.0018115401,-0.0019399285,-0.0015440702,0.0017147303,-0.0050102235,-0.005893886,-0.0071424483,-0.0021913052,0.0018743515,-0.0030445815,0.0017272949,0.002947259,-0.0019038677,-0.008402181,-0.012071419,-0.0030129193,-0.0066541433,-0.005626631,0.000620532,0.00020329953,-0.0042149066,-0.0062335967,-0.0039073825,-0.001468122,0.0013314486,-0.00019368301,5.011767e-07,4.3066406,-7.1777344,1.4355469,15.791016,0.0059100664,-0.33129883,-0.01427722,3290.7156,-0.24646187,-21.016571,8.9566965e-05,-0.00039231032,-0.00037932667,0.44332352,0.07247944,-0.6172446,0.38471794,0.5700811,0.6586922,-1.0668968,1.9861084,-0.7248566,-1.0181973,1.4421923,3.596049,1.5289056,-0.9432715
0 days 00:00:00.030000,0 days 00:00:00.090000,0.0,0.00025624802,0.0,0.0,0.0,0.0,-0.0065139607,-0.009016639,-0.0006446453,0.00070546754,-0.0021497072,0.0068780007,-0.00489012,-0.008165574,0.00252316,-0.017331576,-0.014232332,-0.02123046,-0.010252416,0.0010651827,-0.011614,0.0015766621,0.011749351,-0.003608346,-0.02537402,-0.038894843,-0.0155660035,-0.024491942,-0.019633984,8.817911e-05,0.00078839064,-0.0126441,-0.017864978,-0.010644454,-0.0038964092,0.0033831478,-0.00027010922,4.467348e-06,12.919922,10.048828,14.355469,14.355469,-0.0062893615,16.415554,0.0712923,45760.406,-0.9063309,-52.28756,0.00033638434,0.016334454,0.00025058782,0.24850921,0.32747927,-0.77424324,1.472071,1.8929927,-0.031987023,-1.9247122,2.221311,-1.1634197,-1.1858579,-0.12309732,1.9271921,0.3970181,-2.4733658
0 days 00:00:00.040000,0 days 00:00:00.100000,0.0,0.000956511,0.0,0.0,0.0,1.198043,-0.009960066,-0.01790912,-0.0007437114,-0.00020156204,-0.004608744,0.010852659,-0.009950414,-0.020462763,0.0012715876,-0.033909786,-0.023649137,-0.040522598,-0.02690739,-0.013118839,-0.023148501,-0.0019520998,0.018410336,-0.0031098365,-0.04524509,-0.07580099,-0.035314225,-0.042363323,-0.037655853,-0.0031617284,0.005339098,-0.01771928,-0.028909523,-0.015360201,-0.0048988163,0.006258571,-0.00035128958,-1.3861514e-05,8.613281,18.66211,22.96875,7.1777344,-0.011680531,26.73769,0.08931267,111728.58,-1.4619831,-71.29529,0.00049557455,0.024564814,0.00040099258,-0.6272186,0.5044549,-0.22675148,1.1729989,1.2863057,-1.4804686,-1.7856972,2.336987,0.014431238,-0.56198454,-1.1256297,0.39969587,-0.79599315,-2.254383
0 days 00:00:00.050000,0 days 00:00:00.110000,0.0,0.0008762287,0.0,0.0,0.0,2.5275917,-0.009107798,-0.02359817,-0.0009003162,-0.0010833964,-0.00690512,0.008394119,-0.014577186,-0.03111904,-0.0038821935,-0.042661477,-0.025069337,-0.054110955,-0.045795698,-0.044362895,-0.03330152,-0.015442324,0.015269148,0.0010531306,-0.047791254,-0.09499438,-0.051976454,-0.04583087,-0.048750926,-0.0076224087,0.016529858,-0.010169232,-0.026863068,-0.011253446,0.00044899582,0.007233119,-0.0002523233,-2.8208404e-05,-1.4355469,14.355469,27.27539,14.355469,-0.006977711,27.538898,0.097713925,161774.67,-1.5304296,-61.864723,0.00038038683,0.023018867,6.873009e-05,-1.1374664,0.5778934,0.11235018,0.30413896,-0.49879462,-2.5346625,0.049158096,2.075913,0.553024,-0.54599744,-0.83472854,-0.42831564,-0.86975133,-0.9533989
0 days 00:00:00.060000,0 days 00:00:00.120000,0.0,0.0011014618,0.0,0.0,0.0,3.4975502,-0.005130209,-0.020523,-0.0006655641,-0.001675485,-0.008045685,-0.0034583597,-0.016381329,-0.029178152,-0.0090764165,-0.031826854,-0.013186371,-0.05023091,-0.047795605,-0.08024797,-0.035857756,-0.030216873,-0.0013035536,0.0043541193,-0.028720688,-0.07834053,-0.050151467,-0.024993097,-0.042583514,-0.014193689,0.029737616,0.010342324,-0.0078596175,0.0020021796,0.015868902,0.007746124,-0.000116230614,-2.8973358e-05,-8.613281,1.4355469,25.839844,41.63086,0.0013050757,23.30997,0.108480886,171403.97,-1.606507,-60.436104,0.00027990993,0.017423602,-0.0003610354,-1.1785896,0.46644956,-0.45769638,-1.0237857,-2.4508438,-2.3133855,0.3202952,0.7129879,0.6796941,-0.39704123,-0.8839644,0.14960098,0.35072207,0.49445733
0 days 00:00:00.070000,0 days 00:00:00.130000,0.0,0.00165212,0.0,0.0,0.0,3.1447325,0.00069670676,-0.009999973,3.775703e-05,-0.0022045858,-0.0070067407,-0.018159013,-0.012904319,-0.008039316,-0.0072114705,-0.0017247915,0.012328613,-0.02910074,-0.032939296,-0.08973761,-0.031223636,-0.039738476,-0.029489875,-0.0024365305,-0.0031709194,-0.033454157,-0.024743438,0.0058537005,-0.025377536,-0.019822288,0.03861078,0.027211845,0.014443452,0.0141849695,0.034490127,0.009157926,0.00017255511,-2.6144558e-05,-10.048828,-14.355469,10.048828,51.679688,0.0034621581,4.532861,0.04844532,80363.23,-0.8578728,-31.824274,1.864892e-05,0.0015404985,-0.0004835994,-0.35811406,0.7775561,-0.7009398,-2.0609717,-3.6150315,-1.064914,0.53468305,-0.75719947,0.23645273,0.8758591,-0.47971946,-0.38130873,0.835869,1.1183594
0 days 00:00:00.080000,0 days 00:00:00.140000,0.012137649,0.0012314571,0.0,0.0,0.0,1.8747523,0.0044251843,0.0018920541,0.0008928705,-0.0024817334,-0.001923839,-0.023676125,-0.0017982691,0.018615771,0.00014258623,0.035351496,0.04990632,0.0060194195,-0.014192742,-0.06026727,-0.026689451,-0.041489564,-0.054147433,-0.016740274,0.007849181,0.016623866,0.007548201,0.021454822,-0.009451842,-0.029519629,0.031945325,0.026847374,0.031270348,0.018590678,0.04554205,0.011381996,0.00027270094,-1.7616861e-05,-7.1777344,-24.404297,-20.097656,7.1777344,0.008747013,-25.87331,-0.12416196,-94040.01,1.1409341,52.71161,-0.000535888,-0.023239626,-0.00036029113,0.5975483,1.4829142,-0.5969209,-1.524768,-2.8067672,0.8056976,1.8788201,-0.29588622,1.3285745,1.5053501,-0.5944342,-0.6756504,-0.012435103,0.80807936
0 days 00:00:00.090000,0 days 00:00:00.150000,0.10389206,0.00060895114,0.0,0.0,0.0,0.8457176,0.0036665872,0.007829571,0.0014033628,-0.0025573191,0.0054364004,-0.015461515,0.013038424,0.035104882,0.009811115,0.055713914,0.07200648,0.038192015,-0.012112265,-0.0063010035,-0.023451913,-0.036307424,-0.07254113,-0.03215642,-0.0028184056,0.045118928,0.03162869,0.019453634,-0.0028903366,-0.041044127,0.013559687,0.01077621,0.033744693,0.01403628,0.037352372,0.013679296,0.0002716412,-1.7981587e-05,-1.4355469,-17.226562,-37.32422,-44.501953,0.01270816,-40.149895,-0.22972056,-195142.48,2.4941208,108.56404,-0.00082282163,-0.0338062,5.9628124e-05,0.987961,1.8145549,0.5939563,-0.30394,-1.0553137,1.9717999,1.9493217,-0.88346326,1.0750201,1.9377003,-0.42532992,-0.74924713,-1.0854857,0.51390725
0 days 00:00:00.100000,0 days 00:00:00.160000,0.03732416,-7.962683e-06,0.0,0.0,0.0,0.23909616,0.00038831233,0.0059619904,0.0014253745,-0.0019778279,0.013099669,0.004429278,0.026384855,0.033281066,0.009616447,0.04459569,0.054784887,0.048056263,-0.023983836,0.036923278,-0.020954747,-0.035485942,-0.07226752,-0.036355745,-0.010413349,0.05520525,0.036782444,0.004250002,-0.005686569,-0.048525013,-0.01164875,-0.004705012,0.028949296,0.006082475,0.012374532,0.010223389,0.00010215043,-1.07642745e-05,4.3066406,-1.4355469,-35.88867,-81.82617,0.016826142,-37.92372,-0.20909503,-203070.72,3.3089898,151.06735,-0.0009374407,-0.031171262,0.00029900853,0.8248974,1.5604873,2.0543408,2.2411199,1.318662,2.17621,2.4194264,-1.5402113,-0.35198388,0.76644313,0.02382971,0.04441371,-1.2527508,0.19160278
0 days 00:00:00.110000,0 days 00:00:00.170000,-0.09014036,0.00014572541,0.0,0.0,0.0,0.12684083,-0.000497131,0.0003434837,0.0013771887,-0.0014109347,0.018008394,0.027708465,0.033147223,0.022097547,0.0021356463,0.006475085,-0.0027614057,0.02935465,-0.022324424,0.044904005,-0.010626418,-0.033797123,-0.05216033,-0.03301982,-0.0053364276,0.0547163,0.029865433,-0.005178368,-0.007716775,-0.044288207,-0.03326883,-0.010374999,0.017010963,-0.0027324974,-0.01496991,0.0020628334,8.999005e-05,-6.195273e-06,8.613281,10.048828,-20.097656,-76.083984,0.021052968,-22.091946,-0.11352305,-136502.47,4.2523813,279.7707,-0.0012612939,-0.01748177,0.0003489336,0.68550986,1.0646029,2.8304734,3.0412955,2.5233796,2.350221,0.85424834,-2.638912,-2.0427818,-0.05907035,0.27006787,0.6477185,0.027460214,0.22346668
