,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,0.14937584,0.14963959,-18.311514,-18.320843,29.865036,29.72907,-0.035938364,-0.03591316,-0.003934106,-0.003996565,,,,,,,,,,,,,891.0964,891.5871,1687.1608,1693.1748,,,1766.2594,1764.6412,,,3024.6238,3023.4744,,
1,0.14392978,0.14411373,-20.318727,-20.328825,31.005554,30.966599,-0.039735798,-0.039708838,-0.006724465,-0.006769769,,,,,,,,,,,,,715.88696,716.4998,1547.6362,1550.4928,,,1722.9801,1722.4532,,,2978.544,2977.3982,,
2,0.14470153,0.14471768,-22.00972,-22.023573,33.37009,33.40317,-0.044483606,-0.044488356,-0.012576927,-0.012584474,,,,,,,,,,,,,528.968,529.42865,1407.3832,1405.9867,,,1658.7953,1658.7323,,,2928.6716,2924.2717,,
3,0.14084172,0.14084971,-19.767857,-19.772419,32.477135,32.468937,-0.031010916,-0.030995319,-0.005062975,-0.005072335,,,,,,,,,,,,,581.00287,581.1369,1251.515,1251.7595,,,1622.5532,1622.7109,,,2888.152,2884.8088,,
4,0.13840735,0.13837649,-18.24014,-18.247465,31.91236,31.90571,-0.0268457,-0.02682122,-0.004070819,-0.0041648443,,,,,,,,,,,,,577.2779,577.2601,1307.3307,1308.0349,,,1632.42,1632.5182,,,2902.2976,2898.9192,,
5,0.12867433,0.12868258,-17.096302,-17.103148,29.946566,29.956297,-0.02410785,-0.024052443,-0.00049366284,-0.0005850363,,,,,,,,,,,,,567.5201,568.1329,1357.3014,1362.1205,,,1642.9806,1644.2489,,,2956.746,2958.32,,
6,0.12251287,0.122579835,-17.486319,-17.496897,29.68518,29.719315,-0.024867883,-0.024861122,-0.0032160014,-0.0033237187,,,,,,,,,,,,,434.19296,434.58957,1389.3209,1393.7772,,,1590.3353,1591.4188,,,2943.6394,2944.3604,,
7,0.12288707,0.123036146,-16.482183,-16.486244,26.881727,26.877298,-0.02146549,-0.021500254,-0.0045960783,-0.004644543,,,,,,,,,,,,,426.12363,426.68457,1422.0284,1425.8271,,,1540.8094,1542.9901,,,2621.721,2619.885,,
8,0.12655778,0.12674779,-18.003153,-17.999176,28.772623,28.788427,-0.022239225,-0.022285217,-0.010805328,-0.010800953,,,,,,,,,,,,,449.54102,449.5411,1318.1329,1318.0931,,,1557.6705,1558.7134,,,2567.929,2564.4487,,
