file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.14937584,-18.311514,29.865036,-0.035938364,-0.003934106,0.03314088,29.136475,8.505317,9.992407,13.295899,0.0,0.0,0.0,0.0,0.0,0.0,891.0964,1687.1608,-201.0,1766.2594,1248.3352,-201.0,3024.6238,1031.4121,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.14392978,-20.318727,31.005554,-0.039735798,-0.006724465,0.054963302,28.208298,8.389502,9.986644,11.565398,0.0,0.0,0.0,0.0,0.0,0.0,715.88696,1547.6362,-201.0,1722.9801,1104.0573,-201.0,2978.544,931.0887,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.14470153,-22.00972,33.37009,-0.044483606,-0.012576927,0.07321729,29.544632,8.640531,10.531311,10.50808,0.0,0.0,0.0,0.0,0.0,0.0,528.968,1407.3832,-201.0,1658.7953,948.3579,-201.0,2928.6716,1041.7885,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.14084172,-19.767857,32.477135,-0.031010916,-0.005062975,0.07895211,29.699163,8.219616,7.4840055,12.343202,0.0,0.0,0.0,0.0,0.0,0.0,581.00287,1251.515,-201.0,1622.5532,910.1081,-201.0,2888.152,998.29376,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.13840735,-18.24014,31.91236,-0.0268457,-0.004070819,0.06583799,30.66912,8.934599,8.42067,14.579722,0.0,0.0,0.0,0.0,0.0,0.0,577.2779,1307.3307,-201.0,1632.42,929.78687,-201.0,2902.2976,1098.1715,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.12867433,-17.096302,29.946566,-0.02410785,-0.00049366284,0.05774479,29.052185,10.030906,7.6455245,17.073126,0.0,0.0,0.0,0.0,0.0,0.0,567.5201,1357.3014,-201.0,1642.9806,882.5336,-201.0,2956.746,888.40796,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.12251287,-17.486319,29.68518,-0.024867883,-0.0032160014,0.037451304,26.847261,10.234511,9.523131,14.114089,0.0,0.0,0.0,0.0,0.0,0.0,434.19296,1389.3209,-201.0,1590.3353,838.1524,-201.0,2943.6394,856.1863,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.12288707,-16.482183,26.881727,-0.02146549,-0.0045960783,0.04512593,25.985178,10.279135,7.312074,14.043824,0.0,0.0,0.0,0.0,0.0,0.0,426.12363,1422.0284,-201.0,1540.8094,1056.0714,-201.0,2621.721,966.69366,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.12655778,-18.003153,28.772623,-0.022239225,-0.010805328,0.06740715,26.184248,10.789848,5.4265924,10.501899,0.0,0.0,0.0,0.0,0.0,0.0,449.54102,1318.1329,-201.0,1557.6705,1109.7177,-201.0,2567.929,1067.7404,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.12843476,-21.052893,32.37482,-0.026511503,-0.015391454,0.062391613,27.280853,13.2821245,5.1484027,7.8596406,0.0,0.0,0.0,0.0,0.0,0.0,459.8972,1307.0629,-201.0,1579.0621,1189.681,-201.0,2551.8374,1111.2001,-201.0
