file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.14937584,-18.311514,29.865036,-0.035938364,-0.003934106,0.0,0.0,0.0,0.0,0.0,0.0,891.0964,1687.1608,-201.0,1766.2594,-201.0,3024.6238,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.14392978,-20.318727,31.005554,-0.039735798,-0.006724465,0.0,0.0,0.0,0.0,0.0,0.0,715.88696,1547.6362,-201.0,1722.9801,-201.0,2978.544,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.14470153,-22.00972,33.37009,-0.044483606,-0.012576927,0.0,0.0,0.0,0.0,0.0,0.0,528.968,1407.3832,-201.0,1658.7953,-201.0,2928.6716,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.14084172,-19.767857,32.477135,-0.031010916,-0.005062975,0.0,0.0,0.0,0.0,0.0,0.0,581.00287,1251.515,-201.0,1622.5532,-201.0,2888.152,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.13840735,-18.24014,31.91236,-0.0268457,-0.004070819,0.0,0.0,0.0,0.0,0.0,0.0,577.2779,1307.3307,-201.0,1632.42,-201.0,2902.2976,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.12867433,-17.096302,29.946566,-0.02410785,-0.00049366284,0.0,0.0,0.0,0.0,0.0,0.0,567.5201,1357.3014,-201.0,1642.9806,-201.0,2956.746,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.12251287,-17.486319,29.68518,-0.024867883,-0.0032160014,0.0,0.0,0.0,0.0,0.0,0.0,434.19296,1389.3209,-201.0,1590.3353,-201.0,2943.6394,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.12288707,-16.482183,26.881727,-0.02146549,-0.0045960783,0.0,0.0,0.0,0.0,0.0,0.0,426.12363,1422.0284,-201.0,1540.8094,-201.0,2621.721,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.12655778,-18.003153,28.772623,-0.022239225,-0.010805328,0.0,0.0,0.0,0.0,0.0,0.0,449.54102,1318.1329,-201.0,1557.6705,-201.0,2567.929,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.12843476,-21.052893,32.37482,-0.026511503,-0.015391454,0.0,0.0,0.0,0.0,0.0,0.0,459.8972,1307.0629,-201.0,1579.0621,-201.0,2551.8374,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.100000,0 days 00:00:00.120000,0.13217215,-24.799006,37.389744,-0.03941268,-0.020037072,0.0,0.0,0.0,0.0,0.0,0.0,557.64355,1302.046,-201.0,1664.8203,-201.0,2905.9453,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.110000,0 days 00:00:00.130000,0.13038383,-24.717688,37.567,-0.04117507,-0.012618058,0.0,0.0,0.0,0.0,0.0,0.0,707.5904,1531.1708,-201.0,1689.9008,-201.0,2962.4753,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.120000,0 days 00:00:00.140000,0.1268122,-24.589348,35.449753,-0.051731735,-0.0076772776,0.0,0.0,0.0,0.0,0.0,0.0,780.5256,1699.4989,-201.0,1712.4408,-201.0,3000.2546,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.130000,0 days 00:00:00.150000,0.12997703,-25.846872,37.327763,-0.051719412,-0.005772881,0.0,0.0,0.0,0.0,0.0,0.0,891.88403,1765.6608,-201.0,1736.2189,-201.0,3025.2087,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.140000,0 days 00:00:00.160000,0.14014076,-26.956175,39.226837,-0.05220908,-0.0072911563,0.0,0.0,0.0,0.0,0.0,0.0,977.44476,1544.5057,-201.0,1966.1754,-201.0,3003.4055,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.150000,0 days 00:00:00.170000,0.177185,-26.019094,40.403957,-0.051367123,-0.0071014375,0.0,0.0,0.0,0.0,0.0,0.0,1059.3433,1318.2877,-201.0,2099.3252,-201.0,3008.0618,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.160000,0 days 00:00:00.180000,0.23610057,-22.438494,38.27382,-0.058913082,-0.0011257896,0.0,0.0,0.0,0.0,0.0,0.0,1025.6979,1069.3085,-201.0,2173.086,-201.0,2995.3848,-201.0
