file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.14937581,-18.311514,29.865038,-0.035938364,-0.003934107,0.033140875,29.13648,8.505317,9.992402,13.295899,0.0,0.0,0.0,0.0,0.0,0.0,891.07104,1687.2858,-201.0,1766.2909,1248.394,-201.0,3024.714,1031.3622,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.14392976,-20.318727,31.005556,-0.039735798,-0.0067244656,0.054963302,28.2083,8.3895035,9.986642,11.565398,0.0,0.0,0.0,0.0,0.0,0.0,715.8575,1547.7594,-201.0,1723.0111,1104.1041,-201.0,2978.6191,931.0473,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.1447015,-22.00972,33.37009,-0.044483606,-0.0125769265,0.07321728,29.544632,8.640535,10.531315,10.508081,0.0,0.0,0.0,0.0,0.0,0.0,528.9327,1407.4896,-201.0,1658.8187,948.38776,-201.0,2928.7039,1041.7002,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.14084171,-19.767859,32.47713,-0.031010916,-0.005062974,0.078952104,29.69916,8.21962,7.4840074,12.343205,0.0,0.0,0.0,0.0,0.0,0.0,581.00165,1251.502,-201.0,1622.5518,910.08936,-201.0,2888.1082,998.21216,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.13840735,-18.24014,31.912354,-0.0268457,-0.004070818,0.06583799,30.66912,8.934601,8.4206705,14.579727,0.0,0.0,0.0,0.0,0.0,0.0,577.27606,1307.3142,-201.0,1632.416,929.7696,-201.0,2902.257,1098.0889,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.12867433,-17.096302,29.946564,-0.02410785,-0.00049366336,0.05774479,29.052187,10.030905,7.645527,17.073126,0.0,0.0,0.0,0.0,0.0,0.0,567.52106,1357.3103,-201.0,1642.9838,882.52374,-201.0,2956.7322,888.36395,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.122512855,-17.486319,29.68518,-0.024867883,-0.0032160033,0.037451304,26.847265,10.234511,9.523135,14.114087,0.0,0.0,0.0,0.0,0.0,0.0,434.1957,1389.3414,-201.0,1590.3407,838.1543,-201.0,2943.638,856.1634,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.12288705,-16.482183,26.881727,-0.021465488,-0.0045960792,0.04512593,25.985178,10.279136,7.312075,14.043827,0.0,0.0,0.0,0.0,0.0,0.0,426.1277,1422.1035,-201.0,1540.8291,1056.2528,-201.0,2621.6409,966.6628,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.12655778,-18.003153,28.772623,-0.022239225,-0.010805328,0.06740715,26.184248,10.789848,5.4265885,10.501901,0.0,0.0,0.0,0.0,0.0,0.0,449.54587,1318.1981,-201.0,1557.695,1109.8881,-201.0,2567.8699,1067.6466,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.12843476,-21.052893,32.37482,-0.026511503,-0.015391453,0.062391613,27.280853,13.2821245,5.1483994,7.8596425,0.0,0.0,0.0,0.0,0.0,0.0,459.90442,1307.1338,-201.0,1579.0875,1189.8507,-201.0,2551.7805,1111.0519,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.100000,0 days 00:00:00.120000,0.13217215,-24.79901,37.389744,-0.03941268,-0.020037072,0.0830509,28.792868,16.059433,6.900121,9.156107,0.0,0.0,0.0,0.0,0.0,0.0,557.5659,1302.4928,-201.0,1664.8408,928.2234,-201.0,2906.1172,887.0191,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.110000,0 days 00:00:00.130000,0.13038383,-24.717688,37.567,-0.04117507,-0.012618057,0.08835054,29.28492,16.829279,9.447838,13.144151,0.0,0.0,0.0,0.0,0.0,0.0,707.51953,1531.6837,-201.0,1689.9077,1012.99023,-201.0,2962.6514,798.51825,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.120000,0 days 00:00:00.140000,0.1268122,-24.589348,35.449753,-0.051731735,-0.007677276,0.102887005,29.327967,17.269835,14.258962,19.726318,0.0,0.0,0.0,0.0,0.0,0.0,780.5153,1699.796,-201.0,1712.4564,938.9563,-201.0,3000.4124,765.87714,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.130000,0 days 00:00:00.150000,0.12997703,-25.846872,37.32776,-0.05171941,-0.005772881,0.11494628,30.727066,18.542128,16.601099,18.6775,0.0,0.0,0.0,0.0,0.0,0.0,891.91455,1765.389,-201.0,1736.2731,1152.6053,-201.0,3025.2297,816.9595,-201.0
