file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.020000,0.26312792,-18.748053,30.038443,-0.05882169,-0.013652351,0.09233889,29.172842,8.803216,10.158179,13.632542,0.0,0.0,0.0,0.0,0.0,0.0,468.96252,1462.9838,-201.0,1540.5526,992.93195,-201.0,2618.4133,1122.1696,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.030000,0.2536147,-20.754812,32.350697,-0.068508215,-0.017372495,0.15318473,28.273447,8.7256565,10.174153,12.01516,0.0,0.0,0.0,0.0,0.0,0.0,502.49496,1435.9541,-201.0,1622.4718,965.46063,-201.0,2854.304,1018.4004,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.040000,0.2550486,-22.466034,34.71192,-0.07319849,-0.023520306,0.20286548,29.611343,9.02073,10.669914,11.09526,0.0,0.0,0.0,0.0,0.0,0.0,529.863,1445.0336,-201.0,1693.5206,952.7468,-201.0,3167.0889,1244.1984,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.050000,0.24824579,-20.270517,33.87717,-0.05377697,-0.018085541,0.22344868,29.749826,8.566741,7.6182647,12.95435,0.0,0.0,0.0,0.0,0.0,0.0,622.962,1385.4072,-201.0,1693.3984,949.2773,-201.0,3184.837,1108.1078,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.060000,0.24390192,-18.609446,32.19029,-0.03846988,-0.018008905,0.18729363,30.65127,9.245076,8.349907,15.08654,0.0,0.0,0.0,0.0,0.0,0.0,591.0762,1421.6058,-201.0,1638.778,1000.60956,-201.0,2902.83,1333.8383,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.070000,0.22661829,-17.331694,30.017105,-0.036911063,-0.016059289,0.169469,28.996027,10.250888,7.4629483,17.379877,0.0,0.0,0.0,0.0,0.0,0.0,576.3076,1461.3527,-201.0,1629.984,948.35156,-201.0,2916.9216,921.6809,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.080000,0.21606205,-17.675814,30.175283,-0.037008386,-0.018314963,0.11290974,26.852142,10.700938,9.613823,14.74749,0.0,0.0,0.0,0.0,0.0,0.0,412.61636,1411.1074,-135.57469,1546.817,906.70654,-138.84398,2672.4006,2370.877,-143.17317
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.090000,0.21662676,-16.695288,27.161242,-0.036254447,-0.018287137,0.13620971,25.962057,10.728282,7.548058,14.644569,12.440818,0.0,0.0,-5.4893026,-0.31711888,23.92265,424.61252,1357.3406,-71.24445,1540.6992,895.57153,-79.60096,2672.041,2258.335,-82.622665
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.100000,0.22324665,-18.327774,29.963745,-0.03780375,-0.022598283,0.19807096,26.275309,11.338627,6.0188622,11.335265,12.537891,0.0,0.0,-4.82754,2.43175,29.392218,447.36,1230.6942,-7.8021736,1550.4424,904.5041,-19.93614,2577.3303,2301.4875,-27.226044
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.110000,0.2265095,-21.404524,34.358025,-0.047185794,-0.027446369,0.17997156,27.49388,13.819821,5.7557206,8.781135,12.751906,0.0,0.0,-3.7387407,7.420008,35.19341,455.6462,1178.2145,-11.375583,1584.7311,913.419,-23.969223,2736.5505,970.67426,-30.675964
