start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00,0 days 00:00:00.020000,0.26312795,-18.748053,30.038443,-0.05882169,-0.01365235,0.0,0.0,0.0,0.0,0.0,0.0,468.97012,1462.7775,-201.0,1540.5006,-201.0,2618.2966,-201.0
0 days 00:00:00.010000,0 days 00:00:00.030000,0.25361475,-20.754812,32.350693,-0.068508215,-0.017372495,0.0,0.0,0.0,0.0,0.0,0.0,502.48898,1435.8438,-201.0,1622.4408,-201.0,2854.3,-201.0
0 days 00:00:00.020000,0 days 00:00:00.040000,0.2550486,-22.466034,34.71192,-0.07319849,-0.023520306,0.0,0.0,0.0,0.0,0.0,0.0,529.8991,1445.2285,-201.0,1693.5912,-201.0,3167.2644,-201.0
0 days 00:00:00.030000,0 days 00:00:00.050000,0.24824579,-20.270517,33.87717,-0.05377697,-0.018085545,0.0,0.0,0.0,0.0,0.0,0.0,622.7045,1385.1353,-201.0,1693.2754,-201.0,3185.0085,-201.0
0 days 00:00:00.040000,0 days 00:00:00.060000,0.24390192,-18.609446,32.19029,-0.03846988,-0.018008908,0.0,0.0,0.0,0.0,0.0,0.0,590.82153,1421.7676,-201.0,1638.9009,-201.0,2902.8972,-201.0
0 days 00:00:00.050000,0 days 00:00:00.070000,0.22661829,-17.331694,30.017105,-0.036911063,-0.016059289,0.0,0.0,0.0,0.0,0.0,0.0,575.9997,1461.2906,-201.0,1630.0294,-201.0,2916.871,-201.0
0 days 00:00:00.060000,0 days 00:00:00.080000,0.21606202,-17.675814,30.175283,-0.037008386,-0.01831496,0.0,0.0,0.0,0.0,0.0,0.0,412.60873,1411.4755,-135.57469,1547.0444,-138.84398,2672.4634,-143.17317
0 days 00:00:00.070000,0 days 00:00:00.090000,0.21662675,-16.695288,27.16124,-0.036254447,-0.018287139,12.440814,0.0,0.0,-5.4893036,-0.3171184,23.92265,424.6075,1357.2812,-71.24445,1540.6752,-79.60096,2672.1487,-82.622665
0 days 00:00:00.080000,0 days 00:00:00.100000,0.22324665,-18.327772,29.963745,-0.03780375,-0.022598287,12.53789,0.0,0.0,-4.827541,2.4317503,29.392218,447.35782,1230.6725,-7.8021736,1550.4213,-19.93614,2577.4133,-27.226044
0 days 00:00:00.090000,0 days 00:00:00.110000,0.22650951,-21.404524,34.35802,-0.04718579,-0.027446369,12.751904,0.0,0.0,-3.738741,7.420008,35.19341,455.64062,1178.1909,-11.37558,1584.6974,-23.969223,2736.4656,-30.675964
0 days 00:00:00.100000,0 days 00:00:00.120000,0.23324656,-25.195084,39.36945,-0.068384685,-0.032860506,13.71117,0.0,0.0,-4.7191215,11.040044,41.10203,483.7153,1316.89,-13.9192505,1655.1299,-26.88746,3031.795,-37.72035
