file,start,end,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00,0 days 00:00:00.060000,0.0,0.62205607,0.0,0.0,0.0,-100.0,0.14937584,0.98834115,0.011233442,0.028472222,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0008870223,0.00010899015,72.916664,125.0,187.5,291.66666,0.024543196,191.37292,3.3448832,97336.82,9.021564,136.02138,-0.001291995,0.19036789,0.0010926934,29.136477,8.505317,9.992407,13.295899,5.2110696,-5.176209,4.4573884,10.774148,2.0370219,-9.112668,-1.3575082,-5.081139,-1.6255207,1.3685513
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.010000,0 days 00:00:00.070000,0.0,0.6201334,0.0,0.0,0.0,-100.0,0.14392978,0.98834115,0.009650824,0.027777776,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0007583348,9.3361865e-05,52.083332,83.333336,135.41667,250.0,0.040953234,152.0163,2.9154155,82910.76,10.0995245,167.57787,-0.0014515897,0.14848934,0.0006835363,28.208303,8.389502,9.986644,11.565398,2.621253,-3.6821969,7.7991447,12.540149,7.5445194,-7.2123733,3.5341225,-0.67264813,-2.1447709,3.8173134
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.020000,0 days 00:00:00.080000,0.0,0.6201842,0.0,0.0,0.0,-100.0,0.14470153,0.98834115,0.008622429,0.028819444,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.00080346555,9.058963e-05,31.25,62.5,114.583336,239.58333,0.055383895,124.14736,2.7512996,63177.99,10.365503,182.20406,-0.0018046409,0.12032864,0.0006065521,29.544638,8.640531,10.531311,10.50808,1.2892811,-3.0428994,10.536522,16.999182,6.3691154,-10.522277,6.2834334,3.5709207,1.4949023,4.92479
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.030000,0 days 00:00:00.090000,0.0,0.6204533,0.0,0.0,0.0,-100.0,0.14084172,0.98834115,0.008522546,0.031944443,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0006386091,0.00010332358,62.5,93.75,135.41667,312.5,0.05068329,159.79744,2.9548092,84278.875,9.379115,154.27226,-0.001329153,0.15601732,0.0006813823,29.699163,8.219616,7.4840055,12.343202,4.9512587,-2.4420478,3.6272976,16.761831,4.0708604,-11.700951,6.3432655,9.658152,3.4225032,1.5445632
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.040000,0 days 00:00:00.100000,0.0,0.63924885,0.0,0.0,0.0,-100.0,0.13840735,0.9750168,0.007866408,0.033680554,0.1261301,0.28032067,0.4091325,0.54684156,0.6784485,0.74023074,0.8177218,0.88221335,0.9714365,1.0525646,1.086373,1.1689717,1.2315183,1.2631345,1.2843976,1.3145384,1.4022115,1.415775,1.4311194,1.4365684,1.3594584,1.2114593,1.037837,0.87625575,0.72654223,0.59923273,0.0006303828,0.00010262538,83.333336,125.0,166.66667,343.75,0.04099099,186.00818,3.184076,86830.52,8.994317,142.36082,-0.0011459679,0.18554445,0.00090285204,30.66912,8.934599,8.42067,14.579722,7.4759355,-2.664099,1.7549881,18.836044,1.0855923,-12.103347,5.309595,8.02732,3.8115814,-1.7322441
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.050000,0 days 00:00:00.110000,0.0,0.6353639,0.0,0.0,0.0,-100.0,0.12867433,0.9496446,0.0068042725,0.031944443,0.123124324,0.2999256,0.39813733,0.5173049,0.67815375,0.69024706,0.79100007,0.8294773,0.93707657,1.0442866,1.0502859,1.1638473,1.2674083,1.2591864,1.2206672,1.2107434,1.3463153,1.343835,1.3767873,1.4334079,1.360844,1.180566,0.9943542,0.8519247,0.71770066,0.6041524,0.0003817222,9.304558e-05,104.166664,135.41667,166.66667,312.5,0.031843897,199.82747,3.116989,96601.625,9.265795,142.2152,-0.0007928112,0.19973011,0.00077700126,29.052185,10.030906,7.6455245,17.073126,9.851437,-3.3762558,3.576068,23.547333,5.5761285,-11.738152,4.8170547,7.690511,-0.3192723,-4.2353897
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.060000,0 days 00:00:00.120000,0.0,0.6517845,0.0,0.0,0.0,-100.0,0.12251287,0.91744417,0.0057497085,0.028819444,0.11429123,0.30822423,0.3770254,0.47013953,0.6718822,0.63101584,0.75753427,0.7591412,0.87137127,0.9795613,1.0095505,1.14838,1.2816043,1.2636775,1.1530156,1.0780457,1.2746223,1.290397,1.3141757,1.4202918,1.3806788,1.1716663,0.9583492,0.8388317,0.7163885,0.6136843,0.00031475027,7.086172e-05,72.916664,135.41667,208.33333,312.5,0.02652427,207.21428,3.1801307,128508.875,9.056649,133.63782,-0.00064775307,0.20314932,0.0006412424,26.847261,10.234511,9.523131,14.114089,5.7300496,-9.4978075,2.1258202,25.776255,6.059294,-12.712506,2.2081954,7.2038174,-0.028620958,-3.0139768
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.070000,0 days 00:00:00.130000,0.0,0.6475969,0.0,0.0,0.0,-100.0,0.12288707,0.8979632,0.005063126,0.026041666,0.10525033,0.29548755,0.35946786,0.43628207,0.653254,0.60387677,0.7526596,0.7086045,0.80424005,0.8641107,0.97152734,1.0923133,1.2654486,1.2780026,1.1524239,1.018589,1.2201757,1.2814167,1.2718903,1.406202,1.4253923,1.2038502,0.967272,0.85358477,0.73914623,0.6165752,0.00034937437,7.100148e-05,72.916664,135.41667,250.0,395.83334,0.02979157,230.1126,3.4518254,168193.44,8.047322,104.30185,-0.0005217213,0.222695,0.0005046511,25.985178,10.279135,7.312074,14.043824,3.3007224,-11.6134,3.6319835,23.488035,3.893503,-13.7785635,3.6077445,8.00946,0.93268925,-2.9065485
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.080000,0 days 00:00:00.140000,0.0,0.6692211,0.0,0.0,0.0,-100.0,0.12655778,0.8969222,0.0053967354,0.02222222,0.094854,0.26217416,0.34606862,0.44108102,0.6449408,0.6226619,0.77181196,0.6921081,0.79867005,0.7532306,0.9461303,1.052043,1.2237825,1.2761565,1.1728662,1.0189005,1.214773,1.3172587,1.2609534,1.3797885,1.4714237,1.2528512,1.0032834,0.8795677,0.79187065,0.63072485,0.00043277754,6.310347e-05,52.083332,104.166664,239.58333,458.33334,0.042070776,216.09053,3.4057925,168890.55,8.175939,113.7299,-0.0006094151,0.20703967,0.00039478517,26.184248,10.789848,5.4265924,10.501899,-2.1994855,-10.769582,2.2528083,21.2066,3.7711766,-13.465995,0.38090944,7.942575,3.8784504,-0.94627196
sample_wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.090000,0 days 00:00:00.150000,0.0,0.6794788,0.0,0.0,0.0,-100.0,0.12843476,0.9093005,0.007152284,0.017708333,0.091337286,0.2309549,0.35205206,0.4929757,0.6552741,0.68662685,0.8463626,0.71957785,0.80781895,0.72442967,0.9284956,1.0120071,1.1482474,1.2410973,1.1924506,1.0718067,1.2545815,1.3516825,1.2617315,1.3523684,1.5087967,1.2754163,1.0386329,0.8995817,0.8489413,0.6485664,0.0006286224,5.080012e-05,52.083332,62.5,166.66667,437.5,0.036434565,173.4395,3.0020218,121295.18,9.53531,158.21802,-0.00091859483,0.1678979,0.00038657003,27.280853,13.2821245,5.1484027,7.8596406,-5.23039,-9.000531,4.7929196,20.601227,6.2403665,-7.869997,2.1160374,4.4903193,0.7321458,-0.54313225
